ticker,score_fundamentals,score_valuation,score_short_interest,score_technical,score_stability,score_insider,score_events,score_filing_text,score_quality,score_profitability,score_earnings_drift,composite,rank,shortName,sector,marketCap
RNG,58.46153846153846,67.37272126919585,45.18028846153846,70.3225806451613,39.516129032258064,61.904761904761905,57.14285714285714,90.0,87.6923076923077,95.96774193548387,78.94736842105263,69.43525962174111,1,"Ringcentral, Inc.",Technology,5759002112
YELP,57.828934208809834,93.23909233122178,27.283653846153847,32.25806451612903,86.29032258064515,63.49206349206349,57.14285714285714,78.33333333333333,97.6923076923077,85.48387096774194,82.45614035087719,68.45511126003053,2,Yelp Inc.,Communication Services,1214962432
CRTO,40.02078531982433,98.3598019125683,100.0,55.483870967741936,70.16129032258065,77.77777777777779,11.11111111111111,61.66666666666667,91.53846153846155,73.38709677419354,61.40350877192983,65.89829845284511,3,Criteo S.A.,Communication Services,856477312
CARG,65.31451928512413,68.77506534950496,61.40625,,,53.96825396825397,57.14285714285714,83.33333333333334,70.0,98.38709677419355,45.614035087719294,65.77861970291723,4,"CarGurus, Inc.",Consumer Cyclical,3157655040
DBX,46.15384615384615,61.26214733326225,33.58173076923077,73.54838709677419,90.32258064516128,57.14285714285714,57.14285714285714,96.66666666666667,83.84615384615384,91.93548387096774,36.84210526315789,63.952296216392476,5,"Dropbox, Inc.",Technology,7698555904
SPSC,54.74540157411836,49.02151938058596,34.75961538461539,41.61290322580645,86.29032258064515,93.65079365079364,57.14285714285714,41.66666666666667,65.38461538461539,45.96774193548387,98.24561403508771,62.885861776095936,6,"SPS Commerce, Inc.",Technology,3070094848
IAS,61.495412445101536,67.18215374106767,54.17067307692307,,,,,,66.15384615384616,,,62.3415212471353,7,Integral Ad Science Holding Cor,Communication Services,1735615872
EPAM,42.87385311127538,88.23609875403953,47.57211538461539,30.967741935483872,83.06451612903226,93.65079365079364,57.14285714285714,60.0,56.15384615384616,54.03225806451613,68.42105263157895,61.946103326482785,8,"EPAM Systems, Inc.",Technology,6108930048
SPT,46.911597164847585,94.04910151324086,65.87740384615384,56.774193548387096,46.774193548387096,71.42857142857143,57.14285714285714,100.0,55.38461538461539,51.61290322580645,43.859649122807014,61.76751675323733,9,"Sprout Social, Inc",Technology,693174848
PRGS,50.0400921859373,77.13791502909937,31.82692307692308,53.54838709677419,78.2258064516129,73.01587301587301,57.14285714285714,31.666666666666664,79.23076923076923,60.483870967741936,71.9298245614035,60.676978259488266,10,Progress Software Corporation,Technology,1871215616
