ticker,score_fundamentals,score_technical,score_quality,composite,rank,shortName,sector,marketCap
RNG,52.734375,77.62096774193549,85.15625,68.74527469758064,1,"Ringcentral, Inc.",Technology,4351422976
DBX,55.685763888888886,72.37903225806451,85.15625,67.80451448892728,2,"Dropbox, Inc.",Technology,7015350784
GEN,74.16485433285179,66.53225806451614,53.125,67.27292116320469,3,Gen Digital Inc.,Technology,16109081600
PRGS,52.275525773087956,70.76612903225806,83.59375,65.46242072362426,4,Progress Software Corporation,Technology,1618985856
QLYS,66.39392514865062,70.36290322580646,43.75,63.9804830823663,5,"Qualys, Inc.",Technology,4909427200
TENB,44.03423544375353,73.38709677419355,83.59375,63.15407394665684,6,"Tenable Holdings, Inc.",Technology,3673159680
YELP,63.96069525574189,49.19354838709677,90.625,62.65710006759445,7,Yelp Inc.,Communication Services,1420684800
CRTO,49.960359287000394,61.693548387096776,87.5,61.482854937575624,8,Criteo S.A.,Communication Services,1049608128
CARG,67.66059600265896,51.20967741935484,66.40625,60.67997836975567,9,"CarGurus, Inc.",Consumer Cyclical,3055538944
S,51.14946209016394,72.98387096774194,44.53125,58.935342148782766,10,"SentinelOne, Inc.",Technology,6273026560
IAS,59.11133650786173,,57.03125,58.48100726305515,11,Integral Ad Science Holding Cor,Communication Services,1735615872
MNDY,66.05497946894039,40.12096774193549,81.25,58.116906890181156,12,monday.com Ltd.,Technology,3397359616
PCTY,59.40024672602223,57.05645161290322,55.46875,57.735563603487236,13,Paylocity Holding Corporation,Technology,6924317696
DV,58.19439864539496,47.98387096774193,76.5625,57.280807162538366,14,"DoubleVerify Holdings, Inc.",Communication Services,1671992448
TDC,57.10259019795658,51.612903225806456,70.3125,57.20680979904553,15,Teradata Corporation,Technology,2800416000
PUBM,38.17455130016959,67.54032258064518,75.78125,56.95097498676321,16,"PubMatic, Inc.",Technology,597725568
FIVN,38.06266585798631,71.9758064516129,64.84375,56.77361362715681,17,"Five9, Inc.",Technology,1890747520
PATH,71.25567417509369,48.79032258064517,41.40625,56.69857902467846,18,"UiPath, Inc.",Technology,5872892928
VRNS,49.07389414923686,71.16935483870968,40.625,56.64008440576375,19,"Varonis Systems, Inc.",Technology,5525328384
GTLB,66.69121413934425,50.80645161290323,46.09375,56.4889966482445,20,GitLab Inc.,Technology,5474049024
FROG,65.55301370830978,62.5,21.09375,56.35994313019866,21,JFrog Ltd.,Technology,9962097664
AMPL,54.4256995477671,54.233870967741936,61.71875,55.649243247441206,22,"Amplitude, Inc.",Technology,1145830400
WIX,52.864583333333336,37.90322580645161,99.21875,54.997269825268816,23,Wix.com Ltd.,Technology,2268662016
ALRM,52.416202460586646,64.71774193548387,38.28125,54.944521805528964,24,"Alarm.com Holdings, Inc.",Technology,2622400256
CXM,43.54238309465486,51.81451612903226,83.59375,54.09189610972864,25,"Sprinklr, Inc.",Technology,1393661184
SPSC,56.078482559721955,46.975806451612904,61.71875,53.34707405822681,26,"SPS Commerce, Inc.",Technology,2351081472
PEGA,74.2235589001947,25.201612903225804,63.28125,52.13556163354771,27,Pegasystems Inc.,Technology,4644439552
ESTC,64.58813405512636,49.39516129032258,29.6875,52.11590701688081,28,Elastic N.V.,Technology,6358414336
BOX,30.2914831433327,67.94354838709677,65.625,52.065280807140674,29,"Box, Inc.",Technology,4122731520
BSY,65.47580959634026,48.185483870967744,28.90625,51.844147316930076,30,"Bentley Systems, Incorporated",Technology,9997948928
PD,60.162064843602785,43.54838709677419,49.21875,51.384426689797685,31,"PagerDuty, Inc.",Technology,734301312
AMBA,52.47350197851894,53.2258064516129,44.53125,51.364224890947,32,"Ambarella, Inc.",Technology,3000364288
SPT,50.83177289429056,47.983870967741936,60.15625,51.32718408619192,33,"Sprout Social, Inc",Technology,488056960
MANH,47.364567303666014,58.46774193548387,40.625,50.721305580365126,34,"Manhattan Associates, Inc.",Technology,9391789056
FSLY,46.77766393442623,58.064516129032256,42.1875,50.593663240349024,35,"Fastly, Inc.",Technology,3170690048
RPD,40.687654735360006,56.45161290322581,59.375,50.499163494419165,36,"Rapid7, Inc.",Technology,651264320
MGNI,50.00395016801708,64.11290322580645,17.1875,49.93861835817752,37,"Magnite, Inc.",Communication Services,2716788480
EPAM,52.3648093843561,38.10483870967742,67.96875,49.29445368147805,38,"EPAM Systems, Inc.",Technology,4834179072
BAND,40.570414075749014,63.50806451612903,33.59375,48.7454019216642,39,Bandwidth Inc.,Technology,1913034112
SLAB,49.03624487704918,56.854838709677416,28.90625,48.652811115977,40,"Silicon Laboratories, Inc.",Technology,7172557312
CWAN,56.43027487280949,,27.34375,47.61617642650359,41,"Clearwater Analytics Holdings, ",Technology,7330872320
CRUS,54.327936569625024,38.508064516129025,53.125,47.61567901736326,42,"Cirrus Logic, Inc.",Technology,6817676288
PLAB,53.95392190346084,30.84677419354838,71.09375,47.52416982555736,43,"Photronics, Inc.",Technology,1779524352
SYNA,37.783440503109105,58.46774193548387,42.96875,47.20472671585068,44,Synaptics Incorporated,Technology,4569551872
BRZE,53.95995265686829,41.733870967741936,42.96875,46.9758114886792,45,"Braze, Inc.",Technology,2615307264
ALGM,49.978536602600336,48.387096774193544,35.15625,46.67807263689748,46,"Allegro MicroSystems, Inc.",Technology,8777951232
SITM,63.02351257772752,42.54032258064516,7.8125,44.75166444004592,47,SiTime Corporation,Technology,16477182976
COHU,45.9932341718485,40.5241935483871,50.0,44.46251495652534,48,"Cohu, Inc.",Technology,2334344704
ICHR,30.20359313171283,65.3225806451613,28.90625,44.39579458693045,49,Ichor Holdings,Technology,2977820416
ASAN,39.411125635952516,42.33870967741935,60.15625,44.31801271799202,50,"Asana, Inc.",Technology,1792116736
DIOD,46.80374158606033,39.91935483870968,46.875,43.98895031731626,51,Diodes Incorporated,Technology,4036704512
U,46.92631783493499,38.10483870967742,48.4375,43.573064295108665,52,Unity Software Inc.,Technology,13013108736
CALX,51.982649030106984,30.443548387096776,47.65625,42.363661439208684,53,"Calix, Inc",Technology,2307630336
RMBS,58.50140766649917,31.048387096774196,29.6875,42.080719277772985,54,"Rambus, Inc.",Technology,10473065472
AKAM,35.524686996210455,41.93548387096774,51.5625,41.0215880347339,55,"Akamai Technologies, Inc.",Technology,16693157888
DOCN,46.25837304765195,48.58870967741935,5.46875,39.931614333511426,56,"DigitalOcean Holdings, Inc.",Technology,14141203456
BMBL,30.191580695308083,24.798387096774192,96.09375,39.74476355746236,57,Bumble Inc.,Communication Services,434410432
ACLS,41.08141206320793,37.096774193548384,41.40625,39.50287114116777,58,"Axcelis Technologies, Inc.",Technology,4096828416
UCTT,20.699459440361785,50.0,54.6875,38.802902984434304,59,"Ultra Clean Holdings, Inc.",Technology,4139449856
SMTC,38.85802360090447,45.967741935483865,16.40625,37.7688412024452,60,Semtech Corporation,Technology,11438031872
VIAV,45.708468767665345,39.516129032258064,11.71875,37.095593739254255,61,Viavi Solutions Inc.,Technology,9684878336
NVMI,42.517899249942424,42.54032258064516,7.8125,36.32971610899133,62,Nova Ltd.,Technology,14039875584
NVTS,31.698611503674396,21.774193548387096,19.53125,25.449768146382397,63,Navitas Semiconductor Corporati,Technology,2836199424
PI,23.163952091577166,27.217741935483872,23.4375,24.877749332542923,64,"Impinj, Inc.",Technology,4075133952
