ticker,score_fundamentals,score_valuation,score_short_interest,score_technical,score_stability,score_insider,score_events,score_filing_text,score_quality,score_profitability,score_earnings_drift,composite,rank,shortName,sector,marketCap
RNG,58.58585858585858,70.93849224779017,51.53846153846155,79.53125,38.28125,43.75,57.03125,90.1639344262295,85.47785547785548,96.875,84.48275862068965,68.74802790891097,1,"Ringcentral, Inc.",Technology,5283930624
CARG,65.0511953874447,64.99110945980016,43.84615384615385,55.15625,85.9375,67.1875,57.03125,85.24590163934425,71.59673659673659,98.4375,51.724137931034484,66.78391527853938,2,"CarGurus, Inc.",Consumer Cyclical,3472529664
SPSC,54.66416488559736,55.278755084257924,74.61538461538461,37.34375,82.8125,92.96875,57.03125,49.18032786885246,69.4055944055944,44.53125,98.27586206896551,66.43075855152216,3,"SPS Commerce, Inc.",Technology,2641692928
VRNS,43.10809019666319,16.381523599739918,83.07692307692308,51.09375,33.59375,92.96875,57.03125,91.80327868852459,46.666666666666664,35.15625,96.55172413793103,62.5353627774277,4,"Varonis Systems, Inc.",Technology,4998728704
EPAM,42.36948489818911,92.60159985492054,41.92307692307693,30.78125,80.46875,92.96875,57.03125,65.57377049180327,62.38927738927739,52.34375,72.41379310344827,62.53399803743061,5,"EPAM Systems, Inc.",Technology,5026119680
CRTO,39.530211905826995,94.04691766171842,,56.71875,67.96875,75.0,10.9375,67.21311475409836,87.85547785547786,73.4375,65.51724137931035,62.50221528283248,6,Criteo S.A.,Communication Services,923494400
IAS,61.62027602432194,66.32323084884756,65.38461538461539,,,,,,57.41258741258741,,,62.25380922357441,7,Integral Ad Science Holding Cor,Communication Services,1735615872
DBX,46.21212121212122,60.787499976304524,29.230769230769234,71.40625,89.84375,42.1875,57.03125,96.72131147540983,83.86946386946387,92.1875,43.103448275862064,61.861183924338306,8,"Dropbox, Inc.",Technology,8121196032
PCTY,59.12139437016418,55.126833950363356,70.0,47.65625,92.1875,78.125,57.03125,86.88524590163934,45.023310023310025,27.34375,60.3448275862069,61.36576881044234,9,Paylocity Holding Corporation,Technology,7980828672
YELP,57.69181702205212,92.46473324272185,13.846153846153847,42.34375,83.59375,60.9375,57.03125,80.32786885245902,94.65034965034965,86.71875,27.586206896551722,60.93197162661656,10,Yelp Inc.,Communication Services,1405562368
BSY,68.24212601686631,36.94541701183068,82.3076923076923,37.34375,88.28125,92.96875,57.03125,26.229508196721312,39.61538461538461,50.0,68.96551724137932,60.46795202714996,11,"Bentley Systems, Incorporated",Technology,10636690432
ALRM,44.92585781268121,57.11541936874005,57.69230769230769,60.78125,89.0625,62.5,57.03125,52.459016393442624,44.97668997668998,46.875,87.93103448275862,59.66810256928605,12,"Alarm.com Holdings, Inc.",Technology,2845467392
PRGS,49.24449525324321,78.28089525907363,26.153846153846153,44.21875,75.78125,64.0625,57.03125,39.34426229508197,81.72494172494171,60.15625,77.58620689655173,59.0830067967636,13,Progress Software Corporation,Technology,1756994560
VIAV,53.05109597892539,38.08062525709584,90.0,49.53125,33.59375,92.96875,57.03125,78.68852459016394,4.545454545454546,30.46875,82.75862068965517,58.8806033048509,14,Viavi Solutions Inc.,Technology,9655276544
SPT,47.577662905711016,93.79878186329799,46.15384615384615,30.78125,44.53125,71.875,57.03125,100.0,59.77855477855478,50.78125,50.0,58.75360534056508,15,"Sprout Social, Inc",Technology,621491264
MNDY,68.97866030452143,55.112483973964046,33.07692307692307,29.84375,48.4375,82.8125,57.03125,,78.46153846153845,44.53125,,58.12491245695804,16,monday.com Ltd.,Technology,3936988672
GEN,59.68752588763523,65.57093602160016,83.84615384615384,52.03125,82.03125,53.125,57.03125,3.278688524590164,52.56410256410256,46.09375,86.20689655172413,57.74399678402956,17,Gen Digital Inc.,Technology,17460494336
QLYS,68.03982968007024,34.71226591245566,33.84615384615385,72.34375,68.75,12.5,57.03125,95.08196721311475,44.883449883449885,52.34375,94.82758620689656,57.44047540638982,18,"Qualys, Inc.",Technology,6461616640
FIVN,36.73501002369237,72.74981027827327,51.53846153846154,72.96875,37.5,54.6875,57.03125,77.04918032786885,68.76456876456876,72.65625,34.48275862068966,56.595418950423856,19,"Five9, Inc.",Technology,2539852800
BL,40.821777092963536,52.626112028389066,40.769230769230774,30.78125,75.0,84.375,57.03125,55.73770491803278,82.42424242424242,57.03125,46.55172413793103,56.52393059922059,20,"BlackLine, Inc.",Technology,1717601792
PUBM,42.32872740527196,42.97259561016676,53.84615384615385,69.53125,26.5625,17.1875,57.03125,68.85245901639344,84.74358974358975,56.25,100.0,56.4184528371285,21,"PubMatic, Inc.",Technology,809880128
BOX,31.419139453584506,37.61303923780205,36.92307692307692,70.46875,94.53125,48.4375,57.03125,62.295081967213115,63.275058275058285,84.375,,56.35170320558973,22,"Box, Inc.",Technology,4604825088
APPN,57.82828282828282,42.36586563341781,27.692307692307693,48.59375,67.96875,59.375,57.03125,75.40983606557377,58.70629370629371,62.5,,56.1931223781071,23,Appian Corporation,Technology,2481179904
AMPL,52.740278675215805,40.626926836604255,40.0,47.34375,44.53125,81.25,57.03125,98.36065573770492,51.37529137529137,84.375,11.206896551724139,55.93745625363318,24,"Amplitude, Inc.",Technology,1406554880
PEGA,70.98497274549763,60.73205731649754,16.923076923076923,42.03125,67.1875,79.6875,57.03125,59.01639344262295,60.209790209790214,89.84375,5.172413793103448,55.47932448684146,25,Pegasystems Inc.,Technology,5382618112
MANH,50.907516940868504,21.787970094421706,74.61538461538461,65.78125,82.8125,65.625,57.03125,4.918032786885246,53.986013986013994,64.84375,58.620689655172406,54.88636238478669,26,"Manhattan Associates, Inc.",Technology,11382879232
DV,52.79859833987772,69.76759009491458,48.46153846153846,62.96875,70.3125,92.96875,57.03125,8.19672131147541,77.07459207459208,58.59375,3.4482758620689653,54.351537173158825,27,"DoubleVerify Holdings, Inc.",Communication Services,2027261952
AVPT,67.17191046606027,32.44082372403056,66.92307692307692,61.71875,69.53125,73.4375,57.03125,54.09836065573771,20.582750582750585,30.46875,48.275862068965516,54.26805556910498,28,"AvePoint, Inc.",Technology,2705921792
TDC,50.83975346687211,78.72925461635137,8.846153846153847,58.59375,35.9375,46.875,57.03125,24.59016393442623,74.12587412587412,69.53125,79.3103448275862,54.057094671678975,29,Teradata Corporation,Technology,2547269888
ASAN,38.66005600013254,66.46909542070833,10.000000000000002,31.71875,52.34375,68.75,5.46875,73.77049180327869,66.58508158508158,88.28125,74.13793103448276,53.28457445275825,30,"Asana, Inc.",Technology,2197984256
CXM,47.547923190350744,65.36597810791359,56.92307692307692,39.84375,90.625,56.25,57.03125,19.672131147540984,83.14685314685315,67.96875,29.310344827586203,53.149125293177164,31,"Sprinklr, Inc.",Technology,1606809344
RPD,38.45411468429511,81.7066519817943,31.53846153846154,38.28125,40.625,92.96875,57.03125,16.39344262295082,60.57109557109557,52.34375,,52.61220029076083,32,"Rapid7, Inc.",Technology,773230208
AEIS,58.68863594943421,23.288051290897588,96.15384615384616,65.46875,46.875,76.5625,5.46875,29.508196721311474,16.748251748251747,26.5625,93.10344827586206,52.488575063226406,33,"Advanced Energy Industries, Inc",Industrials,13017193472
CALX,57.83098894908627,47.79380328716193,41.53846153846154,42.65625,70.3125,45.3125,57.03125,44.26229508196721,50.990675990675996,53.125,67.24137931034483,52.41014851448607,34,"Calix, Inc",Technology,2391372288
PATH,70.67175306923802,53.85017575719663,44.61538461538461,60.78125,38.28125,92.96875,57.03125,18.0327868852459,50.10489510489511,48.4375,6.896551724137931,51.52857430071973,35,"UiPath, Inc.",Technology,7797709824
WIX,50.75757575757576,90.91837068687164,26.923076923076923,25.15625,42.1875,92.96875,57.03125,,59.079254079254085,41.40625,18.96551724137931,51.23856199957337,36,Wix.com Ltd.,Technology,2519340544
KLIC,73.202114087844,38.72163573302093,50.0,56.71875,51.5625,10.9375,57.03125,93.44262295081968,30.32634032634033,57.8125,36.206896551724135,49.24633159724737,37,"Kulicke and Soffa Industries, I",Technology,4778171392
CWAN,54.59905230544924,21.070152702031262,79.23076923076923,,,,,,35.151515151515156,,,49.013243930457094,38,"Clearwater Analytics Holdings, ",Technology,7330872320
SYNA,27.582633331676526,48.59850880723746,63.07692307692307,47.03125,48.4375,51.5625,57.03125,37.704918032786885,71.91142191142191,49.21875,44.827586206896555,48.63091086517409,39,Synaptics Incorporated,Technology,4148065536
RMBS,73.02508408303925,20.754569592330505,99.23076923076923,47.03125,25.78125,15.625,57.03125,60.65573770491803,28.904428904428904,38.28125,62.06896551724138,48.55259226031863,40,"Rambus, Inc.",Technology,10978064384
CRUS,55.2430538297132,62.04705162010665,46.15384615384616,55.15625,67.96875,35.9375,57.03125,47.540983606557376,47.214452214452216,53.90625,25.862068965517242,48.334101304661985,41,"Cirrus Logic, Inc.",Technology,6260685312
PLAB,44.87292277614858,64.42513053044362,42.307692307692314,35.15625,11.71875,92.96875,57.03125,70.49180327868852,62.62237762237762,28.90625,1.7241379310344827,48.17002544316,42,"Photronics, Inc.",Technology,1925164800
PD,52.25417101578938,83.7982510847786,67.6923076923077,29.53125,44.53125,23.4375,57.03125,27.86885245901639,50.01165501165501,53.90625,56.896551724137936,47.71807201342302,43,"PagerDuty, Inc.",Technology,896031552
DIOD,50.586924466093414,50.24656083953996,56.15384615384615,62.34375,37.5,20.3125,57.03125,6.557377049180328,50.33799533799534,37.5,89.65517241379311,47.493426393225405,44,Diodes Incorporated,Technology,4843257856
ESTC,61.464038968139576,52.163298434645675,46.92307692307693,45.78125,57.8125,26.5625,57.03125,81.9672131147541,30.349650349650346,37.5,37.93103448275862,47.341498249607035,45,Elastic N.V.,Technology,7867883008
ACLS,46.070464072104315,30.48137188554646,70.76923076923077,44.53125,37.5,40.625,57.03125,22.950819672131146,39.463869463869464,49.21875,63.793103448275865,46.30069806928617,46,"Axcelis Technologies, Inc.",Technology,4331746304
AKAM,33.20865848203191,50.75937187417263,43.07692307692308,43.59375,43.75,70.3125,57.03125,36.0655737704918,54.30069930069931,28.90625,39.6551724137931,46.06728342830667,47,"Akamai Technologies, Inc.",Technology,15917760512
UCTT,39.26992726610004,68.63183874948581,48.46153846153847,57.34375,16.40625,28.125,57.03125,21.311475409836063,25.034965034965033,50.78125,81.03448275862068,45.37538697709603,48,"Ultra Clean Holdings, Inc.",Technology,3911273728
U,50.46001292310751,21.25712238425711,77.6923076923077,57.03125,24.21875,31.25,57.03125,63.934426229508205,39.12587412587413,39.84375,31.03448275862069,44.82521848859867,49,Unity Software Inc.,Technology,18923823104
NVMI,51.2179200424143,20.668921527555305,97.6923076923077,56.09375,47.65625,39.0625,57.03125,,8.391608391608392,8.59375,55.172413793103445,44.51082347560302,50,Nova Ltd.,Technology,12500456448
BMBL,29.984177477343138,99.0017825311943,23.076923076923077,12.03125,26.5625,3.125,57.03125,83.60655737704919,96.96969696969697,86.71875,20.689655172413794,44.41341345393965,51,Bumble Inc.,Communication Services,433603456
BRZE,53.15332107294928,46.652256029865136,67.6923076923077,43.59375,44.53125,50.0,57.03125,42.62295081967213,39.91841491841492,37.5,11.206896551724139,44.173224535519985,52,"Braze, Inc.",Technology,2989244672
SLAB,45.7539100684262,14.668940167991403,23.07692307692308,61.40625,63.28125,57.8125,57.03125,9.836065573770492,28.92773892773893,55.46875,,43.20636261166191,53,"Silicon Laboratories, Inc.",Technology,7229945856
GTLB,64.36339198435972,31.92533273178434,62.307692307692314,37.96875,50.78125,32.8125,57.03125,31.147540983606557,44.34731934731935,43.75,22.413793103448278,42.93699634886534,54,GitLab Inc.,Technology,6582033408
COHU,46.64521099458224,33.308180329053194,37.69230769230769,48.28125,39.84375,34.375,57.03125,1.639344262295082,47.319347319347315,8.59375,75.86206896551724,40.58121114767673,55,"Cohu, Inc.",Technology,2503256320
ICHR,42.615355302616095,48.49007517887973,70.76923076923077,52.03125,4.6875,37.5,5.46875,72.1311475409836,13.787878787878789,41.40625,41.37931034482759,39.941607415929376,56,Ichor Holdings,Technology,2558872832
S,49.27297165200391,25.6575682382134,78.46153846153845,67.96875,57.03125,18.75,10.9375,14.754098360655737,43.6013986013986,52.34375,32.758620689655174,39.66858570280778,57,"SentinelOne, Inc.",Technology,7307717120
FSLY,48.13451629471312,25.01579066095195,13.076923076923077,54.84375,18.75,29.6875,5.46875,40.98360655737705,32.261072261072265,39.0625,91.37931034482759,39.36745784612031,58,"Fastly, Inc.",Technology,3657527808
MGNI,51.3826896631708,56.43690433538631,48.46153846153847,63.28125,49.21875,9.375,57.03125,50.81967213114754,39.70862470862471,21.09375,11.206896551724139,38.994175873560856,59,"Magnite, Inc.",Communication Services,3545445120
BAND,38.27252845568865,52.742824537890954,24.615384615384617,56.09375,17.1875,14.0625,57.03125,88.52459016393442,39.87179487179487,39.0625,15.517241379310345,38.82357333117421,60,Bandwidth Inc.,Technology,1607752192
SMTC,34.84384578425038,20.16569136113728,76.15384615384616,49.53125,28.90625,25.0,57.03125,13.114754098360656,16.82983682983683,64.0625,,38.04543390571824,61,Semtech Corporation,Technology,12987136000
FROG,67.63233759133156,6.719866155350027,29.23076923076923,66.40625,26.5625,6.25,57.03125,32.78688524590164,21.421911421911425,28.125,53.44827586206896,37.5904504259866,62,JFrog Ltd.,Technology,10842637312
DOCN,54.2120218036019,15.753233694410165,53.07692307692308,54.53125,14.84375,1.5625,10.9375,57.377049180327866,7.668997668997669,32.03125,70.6896551724138,35.19599165304529,63,"DigitalOcean Holdings, Inc.",Technology,14514140160
AMBA,50.79601371837567,16.553575456801262,28.46153846153846,73.90625,25.0,21.875,57.03125,11.475409836065573,30.55944055944056,25.78125,24.137931034482758,34.17822822247837,64,"Ambarella, Inc.",Technology,3806881024
PI,29.605431018771647,6.295006701078807,44.61538461538461,51.71875,27.34375,7.8125,57.03125,34.42622950819672,20.62937062937063,39.84375,17.24137931034483,29.62308292898692,65,"Impinj, Inc.",Technology,5602457088
NVTS,32.61800619646437,1.5151515151515151,30.000000000000004,35.46875,2.34375,4.6875,1.5625,45.90163934426229,36.91142191142191,3.90625,11.206896551724139,19.28328774276759,66,Navitas Semiconductor Corporati,Technology,3626588672
