ticker,score_fundamentals,score_technical,score_quality,composite,rank,shortName,sector,marketCap
RNG,52.43417784401391,80.1906779661017,86.76229508196721,69.96418990093449,1,"Ringcentral, Inc.",Technology,4503207424
DBX,56.11028315946349,72.77542372881356,83.37431693989072,67.82347192552285,2,"Dropbox, Inc.",Technology,7125002240
YELP,64.5084536718228,54.025423728813564,90.05464480874318,64.76474336253693,3,Yelp Inc.,Communication Services,1452304512
PRGS,52.407711941346754,67.58474576271186,82.69125683060109,64.0489124196314,4,Progress Software Corporation,Technology,1585560448
QLYS,66.83528330221377,66.63135593220339,46.912568306010925,63.19389974020899,5,"Qualys, Inc.",Technology,4746900480
CRTO,50.984063358286086,64.19491525423729,87.65027322404372,62.957486434437044,6,Criteo S.A.,Communication Services,1047598400
CARG,67.871992965266,56.567796610169495,65.10928961748634,62.735858150176426,7,"CarGurus, Inc.",Consumer Cyclical,3152940800
TENB,43.1936892954417,68.32627118644068,83.4153005464481,60.69843029549599,8,"Tenable Holdings, Inc.",Technology,3577222656
PCTY,60.506192507323085,58.47457627118645,56.92622950819672,59.03249958906583,9,Paylocity Holding Corporation,Technology,6969294336
PATH,71.42322033220846,53.601694915254235,39.4535519125683,58.39479588959509,10,"UiPath, Inc.",Technology,6020557312
MNDY,66.0595211584471,41.313559322033896,80.0136612021858,58.38781184058787,11,monday.com Ltd.,Technology,3470705152
IAS,58.7720906064603,,57.17213114754098,58.28725440678778,12,Integral Ad Science Holding Cor,Communication Services,1735615872
PUBM,38.40659848913099,66.63135593220339,82.71857923497268,57.91176328643602,13,"PubMatic, Inc.",Technology,594010112
FIVN,36.915280561408316,74.6822033898305,66.2431693989071,57.6638183012065,14,"Five9, Inc.",Technology,1956209792
DV,57.55263202973774,48.72881355932204,76.80327868852459,57.36617920417179,15,"DoubleVerify Holdings, Inc.",Communication Services,1680432896
GTLB,66.69728660260034,51.69491525423729,47.19945355191257,57.05384246832842,16,GitLab Inc.,Technology,5553432064
S,50.78434143583946,69.38559322033899,39.04371584699453,56.327600992179455,17,"SentinelOne, Inc.",Technology,6218459136
VRNS,48.80312451821779,71.29237288135593,38.15573770491804,56.138461022131715,18,"Varonis Systems, Inc.",Technology,5481285120
DGII,49.57454705334863,69.80932203389831,38.82513661202186,55.965720627266045,19,Digi International Inc.,Technology,2552061952
AMPL,53.80852047895576,54.44915254237289,63.797814207650276,55.85543967084038,20,"Amplitude, Inc.",Technology,1149808896
FROG,65.81324836836424,60.16949152542373,20.724043715846996,55.44363311992131,21,JFrog Ltd.,Technology,9838556160
WIX,52.185792349726775,38.771186440677965,99.16666666666666,55.06566390796385,22,Wix.com Ltd.,Technology,2357801472
BSY,64.34386259428656,55.50847457627118,30.57377049180328,54.68466892572966,23,"Bentley Systems, Incorporated",Technology,10240985088
ALRM,52.670001313302606,63.347457627118644,37.049180327868854,54.26595283764959,24,"Alarm.com Holdings, Inc.",Technology,2652076544
SPSC,56.258829105069914,47.2457627118644,61.89890710382514,53.56419076478109,25,"SPS Commerce, Inc.",Technology,2410189056
PEGA,74.44752785058041,28.072033898305087,62.677595628415304,53.29867636622356,26,Pegasystems Inc.,Technology,4701981696
PD,60.077770354763004,45.550847457627114,49.19398907103825,52.16782322134563,27,"PagerDuty, Inc.",Technology,752716288
