ticker,score_fundamentals,score_technical,score_quality,composite,rank,shortName,sector,marketCap
QLYS,65.99816708635251,73.30508474576271,46.721311475409834,65.82990684261632,1,"Qualys, Inc.",Technology,5575557120
DBX,56.44889103182256,67.37288135593221,84.42622950819673,65.6634434129306,2,"Dropbox, Inc.",Technology,7076008960
TENB,43.68549257413022,82.20338983050848,78.68852459016392,65.56845510029345,3,"Tenable Holdings, Inc.",Technology,4324867072
CRTO,50.0706210846536,69.17372881355932,87.70491803278688,64.30263212971987,4,Criteo S.A.,Communication Services,1107535104
FROG,65.32144508967572,79.02542372881355,22.131147540983605,63.83305326453447,5,JFrog Ltd.,Technology,11070343168
YELP,64.21510687629797,52.436440677966104,88.52459016393442,63.35890984159911,6,Yelp Inc.,Communication Services,1449554944
CARG,66.64271988665963,58.79237288135593,66.39344262295081,63.33019575716495,7,"CarGurus, Inc.",Consumer Cyclical,3172782080
PRGS,52.70844480451105,64.30084745762711,83.60655737704917,62.6882980053991,8,Progress Software Corporation,Technology,1624522752
PATH,71.03173691492117,56.03813559322033,44.26229508196721,60.32282939205349,9,"UiPath, Inc.",Technology,6277026816
DV,57.26512959878437,55.61440677966101,78.68852459016392,60.147894256046236,10,"DoubleVerify Holdings, Inc.",Communication Services,1772511488
PUBM,38.93416927899686,71.61016949152543,83.60655737704917,59.99456738389248,11,"PubMatic, Inc.",Technology,612587456
GTLB,66.08253250423968,56.24999999999999,49.18032786885246,59.16860985490861,12,GitLab Inc.,Technology,5641260032
RNG,51.783992285438764,55.190677966101696,85.24590163934425,58.780429544699246,13,"Ringcentral, Inc.",Technology,3403401472
IAS,58.514297028745204,,59.016393442622956,58.657753146995994,14,Integral Ad Science Holding Cor,Communication Services,1735615872
S,50.57942340305257,71.39830508474577,40.98360655737705,57.65465462947882,15,"SentinelOne, Inc.",Technology,6734379008
AMPL,54.319132535073756,57.94491525423728,63.114754098360656,57.29581226193971,16,"Amplitude, Inc.",Technology,1292374528
VRNS,48.63919009198828,72.45762711864407,40.983606557377044,57.28760826399299,17,"Varonis Systems, Inc.",Technology,5594622464
FIVN,37.36527983925982,72.03389830508475,68.03278688524591,56.921788707684556,18,"Five9, Inc.",Technology,1965397504
