ticker,score_fundamentals,score_valuation,score_short_interest,score_technical,score_stability,score_insider,score_events,score_filing_text,score_quality,score_issuance,score_profitability,score_earnings_drift,composite,rank,shortName,sector,marketCap
RNG,22.058823529411764,70.58823529411765,68.38235294117648,90.9090909090909,37.878787878787875,71.21212121212122,59.09090909090909,69.84126984126983,83.82352941176471,86.76470588235294,98.46153846153847,80.95238095238095,89.27192905134082,1,"Ringcentral, Inc.",Technology,5755244544
PUBM,23.52941176470588,42.64705882352941,76.47058823529412,100.0,21.21212121212121,34.84848484848485,59.09090909090909,76.19047619047619,88.23529411764706,79.41176470588235,66.15384615384615,100.0,86.39140271493213,2,"PubMatic, Inc.",Technology,751120448
DBX,38.23529411764706,64.70588235294117,13.23529411764706,93.93939393939394,95.45454545454545,30.303030303030305,59.09090909090909,96.82539682539682,67.64705882352942,95.58823529411765,96.92307692307692,39.682539682539684,81.53331145978206,3,"Dropbox, Inc.",Technology,7732259840
CXM,29.411764705882355,77.94117647058823,92.64705882352942,50.0,93.93939393939394,21.21212121212121,59.09090909090909,33.33333333333333,79.41176470588235,92.64705882352942,80.0,,74.2156862745098,4,"Sprinklr, Inc.",Technology,1272299008
MANH,57.35294117647059,10.294117647058822,49.26470588235294,84.84848484848484,87.12121212121212,19.696969696969695,59.09090909090909,23.809523809523807,20.588235294117645,77.94117647058823,78.46153846153847,55.55555555555556,74.20168883404178,5,"Manhattan Associates, Inc.",Technology,11767109632
APPN,82.35294117647058,35.294117647058826,88.23529411764706,83.33333333333334,65.15151515151516,71.21212121212122,59.09090909090909,85.71428571428571,48.529411764705884,57.35294117647059,76.92307692307693,,72.53645047762694,6,Appian Corporation,Technology,2489775360
GEN,50.0,72.05882352941177,42.64705882352941,87.12121212121212,83.33333333333334,4.545454545454546,12.878787878787879,6.349206349206349,35.294117647058826,75.0,44.61538461538462,82.53968253968253,72.31906981906982,7,Gen Digital Inc.,Technology,18113243136
YEXT,20.588235294117645,80.88235294117648,30.88235294117647,53.03030303030303,71.96969696969697,100.0,59.09090909090909,100.0,54.41176470588235,100.0,83.07692307692308,52.38095238095239,72.12204462204463,8,"Yext, Inc.",Technology,633463744
YELP,76.47058823529412,95.58823529411765,4.411764705882353,16.666666666666664,91.66666666666666,71.21212121212122,59.09090909090909,47.61904761904761,97.05882352941177,94.11764705882352,91.53846153846153,84.12698412698413,71.61243984773395,9,Yelp Inc.,Communication Services,1154729856
QLYS,97.05882352941177,38.23529411764706,25.0,57.57575757575758,71.96969696969697,71.21212121212122,59.09090909090909,93.65079365079364,26.47058823529412,73.52941176470588,56.92307692307692,95.23809523809523,70.8165853754089,10,"Qualys, Inc.",Technology,5198936576
CARG,91.17647058823529,79.41176470588235,41.17647058823529,40.909090909090914,89.39393939393939,33.33333333333333,59.09090909090909,46.03174603174603,52.94117647058824,91.17647058823529,100.0,47.61904761904761,69.92615227909346,11,"CarGurus, Inc.",Communication Services,3066354432
BOX,5.88235294117647,30.88235294117647,7.352941176470589,96.96969696969697,100.0,40.909090909090914,59.09090909090909,77.77777777777779,51.470588235294116,80.88235294117648,88.46153846153845,11.11111111111111,69.35617487088075,12,"Box, Inc.",Technology,4630525952
CRTO,17.647058823529413,98.52941176470588,68.38235294117648,35.60606060606061,67.42424242424242,25.757575757575758,12.878787878787879,41.269841269841265,98.52941176470588,85.29411764705883,84.61538461538461,66.66666666666666,68.04555738379267,13,Criteo S.A.,Communication Services,854517504
DIOD,55.88235294117647,54.41176470588235,22.058823529411764,98.48484848484848,28.78787878787879,71.21212121212122,59.09090909090909,3.1746031746031744,50.0,60.29411764705882,24.615384615384617,87.3015873015873,67.6739845122198,14,Diodes Incorporated,Technology,4375372288
ALRM,33.82352941176471,60.29411764705882,36.76470588235294,74.24242424242425,96.96969696969697,36.36363636363637,59.09090909090909,11.11111111111111,38.23529411764706,58.82352941176471,46.15384615384615,85.71428571428571,66.2335213805802,15,"Alarm.com Holdings, Inc.",Technology,2717635072
SPSC,72.05882352941177,48.529411764705884,11.76470588235294,56.060606060606055,84.84848484848484,71.21212121212122,59.09090909090909,39.682539682539684,55.88235294117647,66.17647058823529,40.0,98.4126984126984,65.16244376538494,16,"SPS Commerce, Inc.",Technology,2976494592
PD,63.23529411764706,86.76470588235294,16.176470588235293,69.6969696969697,46.96969696969697,71.21212121212122,59.09090909090909,87.3015873015873,1.4705882352941175,97.05882352941177,61.53846153846154,23.809523809523807,63.0259446435917,17,"PagerDuty, Inc.",Technology,1108176768
TDC,54.41176470588235,88.23529411764706,46.32352941176471,19.696969696969695,31.818181818181817,71.21212121212122,59.09090909090909,25.396825396825395,85.29411764705883,69.11764705882352,81.53846153846153,76.19047619047619,61.635888621182744,18,Teradata Corporation,Technology,2589120000
PRGS,47.05882352941176,89.70588235294117,14.705882352941178,43.18181818181818,81.06060606060606,71.21212121212122,59.09090909090909,14.285714285714285,89.70588235294117,67.64705882352942,72.3076923076923,,61.045523104346636,19,Progress Software Corporation,Technology,1637236608
PLAB,39.705882352941174,73.52941176470588,27.205882352941174,31.818181818181817,4.545454545454546,71.21212121212122,59.09090909090909,58.730158730158735,80.88235294117648,89.70588235294117,15.384615384615385,90.47619047619048,56.84621750798221,20,"Photronics, Inc.",Technology,1710327936
EPAM,27.941176470588236,94.11764705882352,33.82352941176471,12.121212121212121,87.12121212121212,71.21212121212122,59.09090909090909,36.507936507936506,27.941176470588236,88.23529411764706,53.84615384615385,73.01587301587301,56.80463327522151,21,"EPAM Systems, Inc.",Technology,6082620928
SLAB,32.35294117647059,8.823529411764707,35.294117647058826,95.45454545454545,77.27272727272727,71.21212121212122,59.09090909090909,88.88888888888889,14.705882352941178,44.11764705882353,,28.57142857142857,56.04787369493252,22,"Silicon Laboratories, Inc.",Technology,7351698432
ASAN,14.705882352941178,75.0,32.35294117647059,30.303030303030305,56.060606060606055,37.878787878787875,4.545454545454546,84.12698412698413,91.17647058823529,45.588235294117645,93.84615384615384,50.79365079365079,55.13276755923815,23,"Asana, Inc.",Technology,2008067968
ACLS,36.76470588235294,32.35294117647059,61.029411764705884,24.242424242424242,30.303030303030305,71.21212121212122,59.09090909090909,19.047619047619047,5.88235294117647,82.35294117647058,49.23076923076923,63.49206349206349,54.82954953543189,24,"Axcelis Technologies, Inc.",Technology,3502887168
DGII,77.94117647058823,33.82352941176471,89.70588235294117,75.75757575757575,63.63636363636363,71.21212121212122,59.09090909090909,34.92063492063492,45.588235294117645,36.76470588235294,17.692307692307693,88.88888888888889,54.77586955528132,25,Digi International Inc.,Technology,2619558912
AMPL,64.70588235294117,29.411764705882355,57.35294117647059,78.03030303030303,42.42424242424242,71.21212121212122,59.09090909090909,95.23809523809523,75.0,41.17647058823529,88.46153846153845,11.11111111111111,54.69485579779697,26,"Amplitude, Inc.",Technology,1669676416
ESTC,85.29411764705883,45.588235294117645,100.0,87.12121212121212,53.78787878787878,3.0303030303030303,59.09090909090909,82.53968253968253,8.823529411764707,48.529411764705884,28.46153846153846,53.96825396825397,54.52010407892761,27,Elastic N.V.,Technology,8755222528
UCTT,16.176470588235293,82.35294117647058,17.647058823529413,39.39393939393939,7.575757575757576,71.21212121212122,59.09090909090909,9.523809523809524,4.411764705882353,50.0,50.76923076923077,77.77777777777779,54.48523698523698,28,"Ultra Clean Holdings, Inc.",Technology,3352311296
FSLY,42.64705882352941,20.588235294117645,49.26470588235294,81.81818181818183,10.606060606060606,9.090909090909092,4.545454545454546,38.095238095238095,61.76470588235294,8.823529411764707,28.46153846153846,92.06349206349206,52.79168543874427,29,"Fastly, Inc.",Technology,3689388032
MNDY,92.64705882352942,66.17647058823529,2.941176470588235,1.5151515151515151,62.121212121212125,42.42424242424242,59.09090909090909,,58.82352941176471,98.52941176470588,43.07692307692308,65.07936507936508,52.05021285903639,30,monday.com Ltd.,Technology,3671084544
FIVN,11.76470588235294,85.29411764705883,58.82352941176471,62.878787878787875,33.33333333333333,71.21212121212122,59.09090909090909,73.01587301587301,77.94117647058823,27.941176470588236,86.15384615384616,30.158730158730158,51.783135165488105,31,"Five9, Inc.",Technology,2291023360
SYNA,1.4705882352941175,50.0,77.94117647058823,43.18181818181818,48.484848484848484,71.21212121212122,59.09090909090909,4.761904761904762,92.64705882352942,42.64705882352941,73.84615384615385,41.269841269841265,50.23621803033568,32,Synaptics Incorporated,Technology,3950978560
BL,19.11764705882353,52.94117647058824,10.294117647058822,4.545454545454546,75.75757575757575,15.151515151515152,59.09090909090909,63.49206349206349,82.35294117647058,83.82352941176471,69.23076923076923,42.857142857142854,50.114224011282836,33,"BlackLine, Inc.",Technology,1647851520
DV,67.64705882352942,76.47058823529412,95.58823529411765,72.72727272727273,81.06060606060606,71.21212121212122,59.09090909090909,12.698412698412698,69.11764705882352,54.41176470588235,70.76923076923077,1.5873015873015872,49.87389244742186,34,"DoubleVerify Holdings, Inc.",Communication Services,2078383488
KLIC,88.23529411764706,36.76470588235294,79.41176470588235,37.878787878787875,50.0,6.0606060606060606,59.09090909090909,60.317460317460316,2.941176470588235,61.76470588235294,67.6923076923077,31.746031746031743,49.770458299870064,35,"Kulicke and Soffa Industries, I",Technology,4507106816
PATH,98.52941176470588,63.23529411764706,38.23529411764706,68.18181818181817,24.242424242424242,71.21212121212122,59.09090909090909,68.25396825396825,11.76470588235294,72.05882352941177,47.69230769230769,11.11111111111111,49.76101512866219,36,"UiPath, Inc.",Technology,7165886976
COHU,35.294117647058826,26.47058823529412,5.88235294117647,78.03030303030303,34.84848484848485,27.27272727272727,59.09090909090909,7.936507936507936,39.705882352941174,39.705882352941174,4.615384615384616,74.60317460317461,49.23868615045086,37,"Cohu, Inc.",Technology,2702077696
PCTY,80.88235294117648,57.35294117647059,52.20588235294118,62.878787878787875,98.48484848484848,24.242424242424242,12.878787878787879,71.42857142857143,44.11764705882353,64.70588235294117,11.538461538461538,57.14285714285714,49.06649722826193,38,Paylocity Holding Corporation,Technology,7843147776
GTLB,83.82352941176471,17.647058823529413,81.61764705882352,89.39393939393939,53.78787878787878,71.21212121212122,59.09090909090909,80.95238095238095,47.05882352941176,29.411764705882355,41.53846153846154,34.92063492063492,48.81620013972955,39,GitLab Inc.,Technology,7829239296
CRUS,73.52941176470588,67.64705882352942,20.588235294117645,35.60606060606061,74.24242424242425,71.21212121212122,59.09090909090909,92.06349206349206,33.82352941176471,70.58823529411765,61.53846153846154,25.396825396825395,48.2823957088663,40,"Cirrus Logic, Inc.",Technology,5953464832
SPT,41.17647058823529,97.05882352941177,70.58823529411765,66.66666666666666,45.45454545454545,43.93939393939394,59.09090909090909,98.4126984126984,86.76470588235294,23.52941176470588,53.84615384615385,46.03174603174603,47.5184945773181,41,"Sprout Social, Inc",Technology,654395904
VRNS,30.88235294117647,5.88235294117647,55.88235294117647,54.54545454545454,22.727272727272727,71.21212121212122,59.09090909090909,44.44444444444444,60.29411764705882,14.705882352941178,23.076923076923077,96.82539682539682,47.288414200178906,42,"Varonis Systems, Inc.",Technology,5182504960
CALX,75.0,47.05882352941176,64.70588235294117,3.0303030303030303,78.78787878787878,71.21212121212122,59.09090909090909,28.57142857142857,30.88235294117647,55.88235294117647,61.53846153846154,68.25396825396825,47.176271440977324,43,"Calix, Inc",Technology,2218851072
PEGA,86.76470588235294,58.82352941176471,75.0,21.21212121212121,69.6969696969697,39.39393939393939,59.09090909090909,15.873015873015872,41.17647058823529,63.23529411764706,95.38461538461539,6.349206349206349,46.5453092658975,44,Pegasystems Inc.,Technology,5958035456
BSY,79.41176470588235,39.705882352941174,86.02941176470588,6.0606060606060606,91.66666666666666,71.21212121212122,12.878787878787879,57.14285714285714,29.411764705882355,51.470588235294116,53.84615384615385,69.84126984126983,45.30465449583096,45,"Bentley Systems, Incorporated",Technology,9355816960
EVCM,25.0,83.82352941176471,46.32352941176471,15.151515151515152,58.333333333333336,13.636363636363635,59.09090909090909,50.79365079365079,70.58823529411765,76.47058823529412,75.38461538461539,4.761904761904762,42.942155883332354,46,EverCommerce Inc.,Technology,1114757760
U,51.470588235294116,11.76470588235294,54.41176470588235,92.42424242424242,16.666666666666664,18.181818181818183,59.09090909090909,79.36507936507937,64.70588235294117,19.11764705882353,32.30769230769231,26.984126984126984,42.708427193721306,47,Unity Software Inc.,Technology,19346309120
BMBL,4.411764705882353,100.0,1.4705882352941175,10.606060606060606,26.515151515151516,1.5151515151515151,59.09090909090909,90.47619047619048,100.0,38.23529411764706,91.53846153846153,22.22222222222222,40.650509621097854,48,Bumble Inc.,Communication Services,458118144
S,44.11764705882353,23.52941176470588,86.02941176470588,71.21212121212122,60.60606060606061,12.121212121212121,59.09090909090909,52.38095238095239,63.23529411764706,26.47058823529412,58.46153846153847,3.1746031746031744,39.82971277088924,49,"SentinelOne, Inc.",Technology,6873970176
RPD,10.294117647058822,91.17647058823529,44.11764705882353,13.636363636363635,26.515151515151516,71.21212121212122,59.09090909090909,31.746031746031743,95.58823529411765,20.588235294117645,64.61538461538461,58.730158730158735,39.39253556900616,50,"Rapid7, Inc.",Technology,694900608
RMBS,100.0,19.11764705882353,29.411764705882355,7.575757575757576,15.151515151515152,71.21212121212122,12.878787878787879,49.2063492063492,16.176470588235293,47.05882352941176,30.76923076923077,60.317460317460316,36.4303180479651,51,"Rambus, Inc.",Technology,9432905728
DOCN,69.11764705882352,7.352941176470589,66.17647058823529,48.484848484848484,6.0606060606060606,31.818181818181817,12.878787878787879,22.22222222222222,13.23529411764706,2.941176470588235,21.53846153846154,71.42857142857143,36.098264480617416,52,"DigitalOcean Holdings, Inc.",Technology,14456406016
IAS,89.70588235294117,69.11764705882352,63.23529411764706,,,,,,72.05882352941177,35.294117647058826,,,35.294117647058826,53,Integral Ad Science Holding Cor,Communication Services,1735615872
FROG,95.58823529411765,4.411764705882353,98.52941176470588,59.84848484848485,12.121212121212121,10.606060606060606,59.09090909090909,53.96825396825397,25.0,13.23529411764706,17.692307692307693,49.2063492063492,34.9956089661972,54,JFrog Ltd.,Technology,10749408256
AEIS,48.529411764705884,22.058823529411764,94.11764705882352,22.727272727272727,40.909090909090914,71.21212121212122,4.545454545454546,61.904761904761905,10.294117647058822,10.294117647058822,11.538461538461538,93.65079365079364,34.55266139089668,55,"Advanced Energy Industries, Inc",Industrials,11504488448
VIAV,52.94117647058824,27.941176470588236,97.05882352941177,45.45454545454545,13.636363636363635,7.575757575757576,59.09090909090909,26.984126984126984,19.11764705882353,4.411764705882353,8.461538461538462,79.36507936507937,34.42323199676141,56,Viavi Solutions Inc.,Technology,9561555968
ICHR,26.47058823529412,55.88235294117647,27.205882352941174,28.030303030303028,3.0303030303030303,71.21212121212122,4.545454545454546,66.66666666666666,23.52941176470588,32.35294117647059,38.46153846153847,38.095238095238095,34.23500519088754,57,Ichor Holdings,Technology,2148000000
PI,2.941176470588235,2.941176470588235,52.20588235294118,59.84848484848485,19.696969696969695,71.21212121212122,59.09090909090909,30.158730158730158,22.058823529411764,16.176470588235293,36.92307692307693,17.46031746031746,32.60208745502864,58,"Impinj, Inc.",Technology,5402631168
MGNI,58.82352941176471,61.76470588235294,73.52941176470588,80.3030303030303,58.333333333333336,28.78787878787879,59.09090909090909,42.857142857142854,42.64705882352941,30.88235294117647,6.153846153846154,11.11111111111111,32.11258512729101,59,"Magnite, Inc.",Communication Services,3409192448
WIX,66.17647058823529,92.64705882352942,61.029411764705884,18.181818181818183,43.93939393939394,98.48484848484848,59.09090909090909,,94.11764705882352,52.94117647058824,35.38461538461539,19.047619047619047,31.388807271160214,60,Wix.com Ltd.,Technology,3204835584
BAND,13.23529411764706,41.17647058823529,19.11764705882353,65.15151515151516,9.090909090909092,22.727272727272727,59.09090909090909,65.07936507936508,57.35294117647059,7.352941176470589,33.84615384615385,15.873015873015872,30.55590651178887,61,Bandwidth Inc.,Technology,1830121344
NVMI,60.29411764705882,16.176470588235293,39.705882352941174,28.030303030303028,51.515151515151516,71.21212121212122,59.09090909090909,,7.352941176470589,25.0,3.076923076923077,61.904761904761905,29.502997002997006,62,Nova Ltd.,Technology,11825848320
AKAM,8.823529411764707,44.11764705882353,23.52941176470588,33.33333333333333,39.39393939393939,71.21212121212122,59.09090909090909,55.55555555555556,66.17647058823529,33.82352941176471,13.846153846153847,36.507936507936506,29.377738274797096,63,"Akamai Technologies, Inc.",Technology,15347496960
BRZE,61.76470588235294,51.470588235294116,81.61764705882352,51.515151515151516,36.36363636363637,71.21212121212122,59.09090909090909,74.60317460317461,73.52941176470588,5.88235294117647,26.153846153846157,33.33333333333333,29.221170985876867,64,"Braze, Inc.",Technology,2719211264
AVPT,94.11764705882352,25.0,83.82352941176471,25.757575757575758,67.42424242424242,71.21212121212122,59.09090909090909,17.46031746031746,17.647058823529413,11.76470588235294,20.0,44.44444444444444,25.491681521093284,65,"AvePoint, Inc.",Technology,2678418176
AMBA,45.588235294117645,14.705882352941178,72.05882352941177,46.96969696969697,18.181818181818183,16.666666666666664,59.09090909090909,20.634920634920633,32.35294117647059,22.058823529411764,8.461538461538462,20.634920634920633,24.53124489889196,66,"Ambarella, Inc.",Technology,2995406336
