ticker,score_fundamentals,score_valuation,score_short_interest,score_technical,score_stability,score_insider,score_events,score_filing_text,score_quality,score_profitability,score_earnings_drift,composite,rank,shortName,sector,marketCap
RNG,58.854166666666664,69.7593428397,47.507440476190474,75.96774193548387,37.09677419354839,45.16129032258064,56.451612903225815,89.83050847457628,88.28125,95.90163934426229,83.6734693877551,66.97470249707266,1,"Ringcentral, Inc.",Technology,5385312256
SPSC,54.96491228070175,51.46873053250604,54.31547619047619,37.58064516129032,84.6774193548387,93.54838709677419,56.451612903225815,47.45762711864407,69.53125,44.26229508196722,97.95918367346938,64.09425726199703,2,"SPS Commerce, Inc.",Technology,2858414080
CARG,65.0,65.39633793077671,36.35912698412699,50.80645161290322,85.48387096774194,58.06451612903226,56.451612903225815,84.7457627118644,71.09375,98.36065573770492,44.89795918367347,63.371367757931594,3,"CarGurus, Inc.",Consumer Cyclical,3334910976
CRTO,39.64912280701755,93.76980856445141,100.0,54.03225806451612,68.54838709677419,77.41935483870968,8.870967741935484,64.40677966101694,91.40625,72.1311475409836,63.26530612244898,62.77307711735911,4,Criteo S.A.,Communication Services,954646016
MNDY,67.84539473684211,63.64988568687547,68.75,34.03225806451613,58.064516129032256,83.87096774193549,56.451612903225815,,78.90625,44.26229508196722,61.224489795918366,62.3910955166273,5,monday.com Ltd.,Technology,3699830784
EPAM,42.5921052631579,91.04629214323093,53.88144841269841,27.90322580645161,82.25806451612902,93.54838709677419,56.451612903225815,62.71186440677966,60.15625,51.63934426229508,71.42857142857143,61.90025175121013,6,"EPAM Systems, Inc.",Technology,5184491520
DBX,46.354166666666664,61.043513742493325,24.590773809523807,71.45161290322581,89.51612903225808,53.2258064516129,56.451612903225815,96.61016949152543,86.71875,90.98360655737704,34.69387755102041,60.50287320225331,7,"Dropbox, Inc.",Technology,7484374528
IAS,61.814692982456144,64.7857251875109,55.79117063492063,,,,,,55.46875,,,60.29519074253356,8,Integral Ad Science Holding Cor,Communication Services,1735615872
VRNS,43.84923245614035,15.913293650793651,61.27232142857143,45.64516129032258,32.25806451612903,93.54838709677419,56.451612903225815,91.52542372881356,45.3125,34.42622950819672,95.91836734693877,60.145707478816796,9,"Varonis Systems, Inc.",Technology,5167573504
BSY,68.51315789473685,34.93035776581694,58.27132936507937,37.90322580645161,85.48387096774194,93.54838709677419,56.451612903225815,23.728813559322035,48.4375,50.0,67.3469387755102,59.697467025810894,10,"Bentley Systems, Incorporated",Technology,10947847168
ALRM,44.54879385964912,58.50451490119856,60.5406746031746,57.90322580645161,90.32258064516128,62.903225806451616,56.451612903225815,50.847457627118644,46.09375,46.721311475409834,87.75510204081633,59.621495122265095,11,"Alarm.com Holdings, Inc.",Technology,2727943936
YELP,57.752192982456144,92.61074823702374,23.747519841269842,29.838709677419352,83.87096774193549,64.51612903225806,56.451612903225815,79.66101694915254,95.3125,86.0655737704918,22.448979591836736,58.710796100747665,12,Yelp Inc.,Communication Services,1340311424
SPT,47.297149122807014,95.23511904761905,67.70833333333333,31.451612903225804,43.5483870967742,69.35483870967742,56.451612903225815,100.0,56.25,50.819672131147534,42.857142857142854,58.54120652377459,13,"Sprout Social, Inc",Technology,599257024
PRGS,49.70559210526316,77.46561417607336,23.648313492063494,54.03225806451612,76.61290322580646,67.74193548387096,56.451612903225815,37.28813559322034,81.25,59.01639344262295,75.51020408163265,58.47973656437947,14,Progress Software Corporation,Technology,1793496064
AMPL,53.27850877192982,36.73735119047619,55.04712301587301,61.774193548387096,42.74193548387096,82.25806451612904,56.451612903225815,98.30508474576271,64.0625,83.60655737704917,8.16326530612245,58.439253035994824,15,"Amplitude, Inc.",Technology,1627656320
PEGA,70.9857456140351,59.92013966758865,50.60763888888889,41.45161290322581,66.12903225806451,80.64516129032258,56.451612903225815,57.6271186440678,59.375,89.34426229508196,4.081632653061225,57.971640768598405,16,Pegasystems Inc.,Technology,5313567744
AVPT,68.50109649122807,31.535563477527763,92.9563492063492,58.548387096774185,67.74193548387098,75.80645161290323,56.451612903225815,52.54237288135594,31.25,29.508196721311474,40.816326530612244,57.537340102103975,17,"AvePoint, Inc.",Technology,2851901696
PUBM,42.203947368421055,43.777990362811785,91.35664682539682,75.32258064516128,25.0,14.516129032258066,56.451612903225815,66.10169491525424,86.71875,55.73770491803278,100.0,57.336806330515905,18,"PubMatic, Inc.",Technology,801225536
QLYS,68.1080043859649,33.78105298896116,28.348214285714285,69.19354838709678,68.54838709677419,11.29032258064516,56.451612903225815,94.91525423728814,42.96875,51.63934426229508,93.87755102040816,57.14757959126065,19,"Qualys, Inc.",Technology,6552124416
APPN,59.375,41.04464285714285,71.05654761904762,46.612903225806456,66.12903225806451,41.935483870967744,56.451612903225815,74.57627118644068,53.90625,62.29508196721311,,56.54882713477624,20,Appian Corporation,Technology,2536333312
VIAV,51.30263157894736,32.02040816326531,46.97420634920635,59.51612903225807,31.451612903225804,79.03225806451613,56.451612903225815,77.96610169491525,11.71875,30.327868852459016,81.63265306122449,56.06665146588305,21,Viavi Solutions Inc.,Technology,10743487488
DV,52.705043859649116,71.61977336722235,74.87599206349206,63.70967741935484,70.16129032258064,93.54838709677419,56.451612903225815,8.47457627118644,75.78125,58.19672131147541,2.0408163265306123,55.252478916617946,22,"DoubleVerify Holdings, Inc.",Communication Services,2039539072
RPD,35.930921052631575,78.96007294859336,30.64236111111111,36.935483870967744,38.70967741935484,93.54838709677419,56.451612903225815,69.49152542372882,56.25,52.459016393442624,53.06122448979592,55.220163356143836,23,"Rapid7, Inc.",Technology,876208320
BOX,32.246710526315795,38.320856227106226,25.111607142857142,73.06451612903224,93.54838709677419,54.83870967741935,56.451612903225815,61.016949152542374,65.625,83.60655737704919,,55.21305453166374,24,"Box, Inc.",Technology,4523090944
BL,41.32401315789474,50.86634553088635,60.06944444444444,30.48387096774194,72.58064516129032,85.48387096774194,56.451612903225815,54.23728813559322,81.25,55.73770491803279,38.775510204081634,54.96188623530792,25,"BlackLine, Inc.",Technology,1774564608
GEN,59.67763157894738,66.89902911714137,59.647817460317455,52.09677419354839,81.45161290322581,43.54838709677419,56.451612903225815,3.389830508474576,53.125,44.26229508196721,85.71428571428571,54.76602038870516,26,Gen Digital Inc.,Technology,17047757824
