,technical
2024-07-01,-0.2791452175048731
2024-07-29,0.1653077895452346
2024-08-26,0.2823807744217264
2024-09-23,0.06628931641993534
2024-10-21,-0.0072590271593050235
2024-11-18,-0.11470988679682
2024-12-16,-0.198946591018263
2025-01-13,0.03553350616631462
2025-02-10,-0.3963608421682307
2025-03-10,-0.10237759525213463
2025-04-07,-0.1870607720176592
2025-05-05,0.15155867075194057
2025-06-02,-0.1051233750555405
2025-06-30,-0.012272318649717534
2025-07-28,0.11171788157842426
2025-08-25,0.12430478622589272
2025-09-22,0.028371704394319137
2025-10-20,-0.03143790752502257
2025-11-17,0.04295604428396645
2025-12-15,0.19314841618956677
2026-01-12,0.5020161667222751
2026-02-09,-0.1282862343708036
2026-03-09,0.4443482899239006
2026-04-06,0.30211200884139355
2026-05-04,-0.011235158735861697
2026-06-01,0.2349943861078739
2026-06-29,-0.6851583832695949
