,technical,stability,earnings_drift
2022-07-01,0.1769499040202058,0.07282915677635873,0.09834971780829377
2022-07-29,-0.0673662926737711,-0.21123354858192536,0.0834083408340834
2022-08-26,0.13559984261833266,0.2494535441429365,-0.0016351051719421018
2022-09-23,0.23607509676410815,0.2708745376515735,-0.1816245804323832
2022-10-21,0.1872361313517213,0.1361763809564696,-0.11658291475869557
2022-11-18,-0.17015448078564716,-0.16666703356374296,0.16941842990903386
2022-12-16,-0.08191681089436209,0.21157757568899158,-0.2619351552600796
2023-01-13,-0.30117021658149556,-0.3395780355364983,-0.03709104060814136
2023-02-10,0.09040941504466822,0.07531570026363096,0.15615692124833055
2023-03-10,-0.08293069481786472,0.03451091921934761,-0.08844542388455723
2023-04-07,0.12164996222835452,0.36724157197107526,-0.18524209781512452
2023-05-05,-0.2775350324041182,-0.45377296674837964,0.047880925647263865
2023-06-02,0.06438519294786839,0.009160443132905526,0.0677497260691169
2023-06-30,-0.17223720270911883,-0.19877314526378745,0.1032414311589797
2023-07-28,-0.0768916249991815,0.35763982331559035,0.043651160769602015
2023-08-25,0.06724591551787056,0.23950027711914446,0.0665731837116478
2023-09-22,0.1470441595905687,0.12224586089319907,-0.06283830173303025
2023-10-20,0.03432149991937975,-0.23834806510567183,-0.07561809867045986
2023-11-17,-0.33307010483855215,-0.447955279933509,-0.121830257122309
2023-12-15,0.24666984375917786,0.25114559563353245,0.06267510636591896
2024-01-12,0.12475291548840013,-0.20082402723366602,0.19292260173857476
2024-02-09,-0.05487064319023634,0.13701720948820298,-0.12297895509698023
2024-03-08,0.23984318552498296,0.3604398725572625,0.02152405979970057
2024-04-05,-0.08826154667504692,-0.02516358034136411,-0.08277896423272695
2024-05-03,0.32081237381187655,0.09726947246591217,0.008483494386945047
2024-05-31,0.12777909545167485,-0.01945890380077621,0.11039495898080678
2024-06-28,-0.3726326007857475,0.10362335033623712,-0.08774228240094561
2024-07-26,0.18914324615099365,0.15840302639426324,0.23463834241623577
2024-08-23,0.11822267567828579,0.1340225361324692,0.00478445381404297
2024-09-20,-0.00611829810349259,-0.031205753577905806,0.01004764599564941
2024-10-18,0.03559301860122407,0.14204103717041716,0.06897050508834632
2024-11-15,-0.11268044550361793,-0.2608589327947772,0.06077396300199622
2024-12-13,-0.06731420020183182,-0.12024019691419031,0.07639366294032111
2025-01-10,0.08752530657752945,0.12070581160120411,0.09758457308452435
2025-02-07,-0.18401110182484282,0.3462443861740217,-0.024574678151688747
2025-03-07,0.12778332032006529,0.5534113793523054,0.07498310443097711
2025-04-04,-0.12517907922019234,-0.46849870781200537,0.004026815088597545
2025-05-02,0.03716526026973357,-0.18665274414154714,-0.05901339375414687
2025-05-30,-0.14362022428535623,-0.4179711889664151,0.03643463910517396
2025-06-27,-0.03479981799956097,-0.2164767012965686,-0.11894909379849845
2025-07-25,-0.012697935220173642,0.002363237376061441,-0.052489704764519404
2025-08-22,0.16169851775472854,-0.4754763123039561,-0.11126609732092406
2025-09-19,0.09526700145458854,-0.024267403481707972,-0.011171358545724932
2025-10-17,0.0877305648702656,-0.03312094192228698,0.18325193551809918
2025-11-14,0.0022636564653187047,-0.22439369072985116,0.0006205183568053238
2025-12-12,0.09635126851763488,-0.17406509697899578,-0.07145692491822958
2026-01-09,0.44998839500651067,-0.15486104914873863,0.07738906836184346
2026-02-06,-0.27815643710735155,0.2715431003133206,0.000992238137505882
2026-03-06,0.564957886466056,-0.36138377907834096,0.011091869987467952
2026-04-03,0.35902091501337163,-0.5609735776737749,-0.03404257239325639
2026-05-01,0.17197179304278656,-0.24998525694847956,-0.0740802851170177
2026-05-29,0.2612080602382257,-0.08827119351308937,-0.015678298386508912
2026-06-26,-0.553910294607928,0.46823784036277016,0.020473300623647713
