,technical,stability,insider,events,issuance,earnings_drift,filing_text
2022-07-01,0.3000230934864761,0.16322045062857848,0.05326614272264192,0.05522518402095459,0.23790507208769593,0.10005746625889682,-0.15867323019221755
2022-07-29,-0.04480987461246641,-0.1544608936034661,-0.136088124140285,0.0074339390741265535,-0.08901134341264777,0.1727954971857411,-0.08849038912330054
2022-08-26,0.034763912141158294,0.2444857201755953,-0.010758951734452068,0.0038571756722518393,0.0954056991793642,0.011684518013631939,0.1779584462511292
2022-09-23,0.2688768670071101,0.2673078481599381,-0.19353728717139534,-0.08008063498333874,0.10735032389925789,-0.2759940568573273,-0.014650938247764575
2022-10-21,0.0831756723411028,0.08855886677345566,0.07585634441823176,-0.10584083748951997,0.056625484255442685,-0.3002227509973708,-0.12612820620460935
2022-11-18,-0.22815021479472206,-0.18971177578850468,0.019985333365723196,0.023287683284707067,0.03773705103171746,0.18023128557147244,0.12131213931355674
2022-12-16,0.01048851350567866,0.2242105470775955,0.050417467096259896,-0.15536589180251423,0.1709594320742651,-0.20474840243544606,-0.22675597905561581
2023-01-13,-0.11418729130443989,-0.16185639349336778,-0.10676905052160564,0.07263838351151422,-0.014464553367527833,0.006556719499906332,0.1265437048917402
2023-02-10,0.0034986995485224485,0.02074727183912498,0.04258046309029295,0.13801708894584674,0.0024043370541655218,0.3460644177625309,0.01634982782206708
2023-03-10,-0.022225476084039127,-0.027675767476053666,-0.20788161081804082,0.048328087926903796,-0.21130423726031605,0.07057846805025157,0.027228985929868048
2023-04-07,0.07348753695584466,0.37696282747280796,-0.035946931223149584,-0.08468003771193641,0.13943613672458638,-0.0983572313265063,-0.026244805715535467
2023-05-05,-0.21333919046911046,-0.2511203860211016,0.06447990268708537,0.07241749434712542,-0.1023769800147082,-0.0432894869392863,-0.062276736895822686
2023-06-02,0.014858085260064994,-0.012038071793864681,-0.09517415145814577,-0.12161533463525497,0.02465068562428656,-0.024457291265993223,-0.05084931107384996
2023-06-30,-0.29592524815696486,-0.15605744811479222,0.019537054804295562,0.06117745299579641,-0.08971010566769008,0.14541472466372943,0.28892979514471095
2023-07-28,-0.2012145313142919,0.25855551487100026,0.06550235583833766,-0.027876882491086816,-0.04082256879325047,0.18752866534035187,-0.023547422905883207
