,technical
2024-07-01,0.005348170525588215
2024-07-15,-0.4234241524789099
2024-07-29,0.17316050678669623
2024-08-12,-0.2753438908878429
2024-08-26,0.1827079054871247
2024-09-09,0.15723098383119516
2024-09-23,-0.07024263184930371
2024-10-07,-0.09123937841096018
2024-10-21,-0.1261862131269118
2024-11-04,0.1754719727526075
2024-11-18,-0.2893261465761104
2024-12-02,0.1694089561252724
2024-12-16,-0.2943203945798738
2024-12-30,-0.0201508516318325
2025-01-13,-0.16898371786126234
2025-01-27,0.18523229573869948
2025-02-10,-0.35197177008140484
2025-02-24,-0.22500578186938217
2025-03-10,-0.26174436562130315
2025-03-24,0.06471081933374198
2025-04-07,-0.024298354249880996
2025-04-21,-0.2773086047965387
2025-05-05,-0.004297208680931222
2025-05-19,0.27845957587117665
2025-06-02,-0.16893895593873495
2025-06-16,0.06136813795564296
2025-06-30,-0.10354255959843747
2025-07-14,0.11167974694876308
2025-07-28,0.21067866282301845
2025-08-11,-0.31561396114167656
2025-08-25,0.0015517582244019737
2025-09-08,0.16979879294917566
2025-09-22,-0.00742304650863727
2025-10-06,0.1695370463919945
2025-10-20,-0.00792288984137968
2025-11-03,-0.13330050804963503
2025-11-17,0.18887827877413385
2025-12-01,0.005617621277185579
2025-12-15,-0.02310469852989912
2025-12-29,0.09155236919421961
2026-01-12,0.3018542765265782
2026-01-26,0.6733883903114062
2026-02-09,0.46805526543523013
2026-02-23,-0.6140956872943077
2026-03-09,0.3810181023351025
2026-03-23,0.4150847679167708
2026-04-06,0.42707937006477825
2026-04-20,0.007303735426065156
2026-05-04,0.19008754620833732
2026-05-18,-0.1705416525244345
2026-06-01,0.3591574251882684
2026-06-15,-0.04141208418309403
2026-06-29,-0.5883827457720646
2026-07-13,-0.262379838849339
