,technical,stability,earnings_drift
2022-07-01,0.3000230934864761,0.16322045062857848,0.050867298638382415
2022-07-29,-0.04480987461246641,-0.1544608936034661,0.19493433395872423
2022-08-26,0.034763912141158294,0.2444857201755953,-0.05525803310613438
2022-09-23,0.2688768670071101,0.2673078481599381,-0.3099078483289545
2022-10-21,0.0831756723411028,0.08855886677345566,-0.3043002229676571
2022-11-18,-0.22815021479472206,-0.18971177578850468,0.22507608200841048
2022-12-16,0.01048851350567866,0.2242105470775955,-0.20099688331985469
2023-01-13,-0.11418729130443989,-0.16185639349336778,-0.001095357845866705
2023-02-10,0.0034986995485224485,0.02074727183912498,0.38014103297122165
2023-03-10,-0.022225476084039127,-0.027675767476053666,0.06322802079670364
2023-04-07,0.07348753695584466,0.37696282747280796,-0.08234732398224943
2023-05-05,-0.21333919046911046,-0.2511203860211016,-0.04859614767107102
2023-06-02,0.014858085260064994,-0.012038071793864681,-0.010730900850857258
2023-06-30,-0.29592524815696486,-0.15605744811479222,0.1961565376523877
2023-07-28,-0.2012145313142919,0.25855551487100026,0.1704111343557395
2023-08-25,0.05729808884053834,0.16369185288600757,0.17212594072946644
2023-09-22,0.15609346349180322,0.1149469583087713,-0.08408010460405875
2023-10-20,-0.10794460593243277,-0.27813977550824387,-0.057223521300536116
2023-11-17,-0.2863418132380575,-0.42988983326077235,-0.14055139701034747
2023-12-15,0.20930098161147892,0.23917910325468023,-0.09638645165928295
2024-01-12,0.10688717125611072,-0.10961817838266925,0.15816970723060925
2024-02-09,-0.17716280583624114,0.03993186735278089,-0.249683257918552
2024-03-08,0.110670139651257,0.2888059115616489,-0.04315746392869347
2024-04-05,0.010466039373393106,0.02638727803587313,-0.06623715913395156
2024-05-03,0.2779143516228639,0.03941167637220247,-0.08972017243127707
2024-05-31,0.13390466024104836,-0.011521358843512712,0.005972092497737477
2024-06-28,-0.22758168951579524,0.01808022818720009,-0.04517576158139554
2024-07-26,0.24781038936259495,0.17081930110372806,0.24137931034482757
2024-08-23,0.07099232823759873,0.06892725038194686,0.01971574883837131
2024-09-20,0.05786770347533966,-0.046906709033645605,-0.035554640993081296
2024-10-18,-0.038786784604446914,0.1113158703471974,0.10000132207804231
2024-11-15,-0.1369675990776797,-0.19930986960871147,0.06550682059001095
2024-12-13,-0.13509148218761813,-0.12335022013741387,0.002923417774213668
2025-01-10,0.022477861582356748,0.07289778205513885,0.10238544771476442
2025-02-07,-0.19796927810629722,0.2414473564342318,-0.09305608682079591
2025-03-07,-0.07632192492420949,0.6193366466668122,0.08347167415934374
2025-04-04,-0.052826528902723886,-0.5161374565282729,-0.001951139213860954
2025-05-02,0.07218794534972649,-0.19948148862399934,-0.18889814289191906
2025-05-30,-0.17643109202350854,-0.38947561003957754,0.00023453532800349398
2025-06-27,-0.005953357903409589,-0.32588762848741376,-0.12933025445167856
2025-07-25,0.02561118447136764,-0.01895006213961353,-0.109247548804537
2025-08-22,0.16556750870973563,-0.5754660349043637,-0.16721230463631762
2025-09-19,0.013824025307040062,-7.460710050776076e-05,-0.06195029388454898
2025-10-17,-0.05125412201676338,0.022718031608641154,0.22521632736446937
2025-11-14,0.09384407069592514,-0.21269976333874574,-0.028455262943730377
2025-12-12,0.007490301405901587,-0.2361898660534625,-0.14223195757852547
2026-01-09,0.47814653050271355,-0.19283697268240926,0.0856188154654748
2026-02-06,-0.2024514704571755,0.1958496382783444,-0.08228202514427849
2026-03-06,0.5591987468917863,-0.33670066440339624,0.05160918194958903
2026-04-03,0.34749944985360065,-0.5444439887113772,-0.02697755142982658
2026-05-01,0.11080896589924286,-0.11481329529370664,-0.002745522869896232
2026-05-29,0.2319829902554879,0.09655939130937918,0.006726764124628476
2026-06-26,-0.6545086952646806,0.4648780539854908,0.005309577661282194
