rebalance,picks,avg_return,qqq_return,iwm_return,alpha_vs_qqq
2022-07-01,10,0.09743144581521081,0.11813727989571987,0.09240997376356419,-0.020705834080509064
2022-07-29,10,-0.01915489737842473,-0.0254231945151302,0.009238973285341068,0.006268297136705469
2022-08-26,10,-0.1057849774075729,-0.10224746336084334,-0.1146682114857035,-0.0035375140467295563
2022-09-23,10,0.020152025954953134,-0.0003263086335826282,0.03755506521207641,0.020478334588535763
2022-10-21,10,0.13979370946306016,0.034129310266663104,0.06380996912068548,0.10566439919639706
2022-11-18,8,-0.03050332441927689,-0.03711089802807832,-0.04651339018806888,0.006607573608801431
2022-12-16,8,0.03664989814358599,0.026955925113235857,0.07271891796848728,0.009693973030350134
2023-01-13,9,0.026759193242508465,0.06666217417572118,0.01742835126920883,-0.03990298093321271
2023-02-10,10,-0.04099688089381452,-0.037204070690529445,-0.07424736111768326,-0.003792810203285077
2023-03-10,10,0.06581570671568901,0.10331656894424701,0.0012403801677163262,-0.037500862228558
2023-04-07,10,-0.047554435097309736,0.015792821594122985,-0.007396892545679545,-0.06334725669143272
2023-05-05,8,0.05331008896351562,0.0983615997547147,0.0433934965957119,-0.04505151079119908
2023-06-02,7,0.08680874728516387,0.04307557750717783,0.03169217609390729,0.04373316977798604
2023-06-30,7,-0.02780580451006593,0.03805977701376495,0.04891320496569751,-0.06586558152383087
2023-07-28,10,-0.0512165921466015,-0.05074586066379827,-0.06327943944540715,-0.00047073148280322996
2023-08-25,10,-0.011266410156872252,-0.015361445628978232,-0.03983697976989975,0.00409503547210598
2023-09-22,10,-0.034067253372393067,-0.009248215606194932,-0.053482986936209675,-0.024819037766198135
2023-10-20,10,0.07675375580991224,0.08866329855045096,0.07119686031611439,-0.011909542740538723
2023-11-17,9,0.04566142928423887,0.04999473120808262,0.10516566332179145,-0.004333301923843749
2023-12-15,9,0.0022853753127477505,0.012961843902842052,-0.015740651644883252,-0.010676468590094301
2024-01-12,8,0.06841516295277417,0.067120621098951,0.03162048794212735,0.0012945418538231612
2024-02-09,9,0.010076382299599137,0.004507678373680601,0.037574060870647186,0.005568703925918536
2024-03-08,9,0.010238204753683965,0.004629470798568125,-0.008997122712546601,0.00560873395511584
2024-04-05,9,-0.031405789475286085,-0.011328840710086219,-0.012472707634412772,-0.020076948765199866
2024-05-03,9,0.06648366150429676,0.03497280006808845,0.019168030238969846,0.03151086143620831
2024-05-31,9,0.020571900276086463,0.06470124980195169,-0.011243753343708973,-0.044129349525865225
2024-06-28,9,0.02672356945281118,-0.033687363298052664,0.10513091031699662,0.060410932750863844
2024-07-26,10,0.020154820373924652,0.036784211817464385,-0.017126146206781434,-0.016629391443539733
2024-08-23,9,0.022812745774635115,0.005083390083133077,0.005399890495046522,0.01772935569150204
2024-09-20,9,0.04748744183867918,0.026376064469838534,0.021889070518570364,0.021111377368840646
2024-10-18,10,0.015983112800502776,0.004246888896832779,0.012541571020061815,0.011736223903669997
2024-11-15,9,0.04409651791608745,0.06838911307338957,0.02008946319701188,-0.024292595157302123
2024-12-13,9,-0.03336712705526428,-0.04245212982142377,-0.06691645063611629,0.009085002766159485
2025-01-10,9,0.09374922341597752,0.031014041159290073,0.042291027370898515,0.06273518225668745
2025-02-07,9,-0.053759251267975774,-0.0595310510360223,-0.0887167739484569,0.005771799768046523
2025-03-07,8,-0.10221329136308456,-0.13926615769839368,-0.11824914917032636,0.03705286633530912
2025-04-04,8,0.09023607625569005,0.15652870603375035,0.10646274964598956,-0.0662926297780603
2025-05-02,10,0.05408897503095135,0.06194385819742898,0.022895201700157575,-0.00785488316647763
2025-05-30,10,0.014674407665508015,0.05701209851828004,0.053668483075075324,-0.042337690852772024
2025-06-27,10,0.014858341175521395,0.03335229971583997,0.04130316743117435,-0.01849395854031858
2025-07-25,10,-0.002135638642820692,0.009887351609595418,0.046572765914290715,-0.01202299025241611
2025-08-22,10,0.0310058451671106,0.047869457345024014,0.0376409149468504,-0.016863612177913413
2025-09-19,10,-0.0211963954427958,0.008809967295566157,0.0017696988455957463,-0.030006362738361957
2025-10-17,10,0.03798277496917094,0.00816308065766358,-0.024362216468106768,0.029819694311507362
2025-11-14,10,0.04325949377603385,0.007817989596001995,0.06893219571140241,0.035441504180031856
2025-12-12,10,-0.035239421325731504,0.022550452178060842,0.028570670681200783,-0.05778987350379235
2026-01-09,10,-0.007044743318949986,-0.027128392415859293,0.018406640413354936,0.020083649096909306
2026-02-06,10,-0.016320098599056632,-0.016238875035925804,-0.0533166022755287,-8.122356313082849e-05
2026-03-06,10,0.05447541989678414,-0.017520480139253114,0.007648377397797779,0.07199590003603726
2026-04-03,10,0.12785768128764194,0.14553948543306272,0.10667303133175277,-0.017681804145420782
2026-05-01,10,0.02437966968242076,0.09517165045083686,0.03992404599651067,-0.07079198076841611
2026-05-29,10,0.00023710073672669196,-0.042006118912949475,0.03482082594990299,0.042243219649676166
2026-06-26,10,-0.06688593366351397,-0.03154905515244799,-0.02888294544363057,-0.03533687851106598
