,technical,stability,earnings_drift
2022-07-01,0.018843279865792862,-0.10974634322334212,0.16953450659004585
2022-07-29,0.013577753161098624,-0.14761675779812608,-0.0503473186996388
2022-08-26,0.24747883889983868,0.25625863861459336,0.0929285449833395
2022-09-23,0.18397298653032215,0.26321998042031214,-0.0015237183080422175
2022-10-21,0.32690565059168347,0.20326438089591764,0.19631230537672892
2022-11-18,-0.06667172908203094,-0.03873940018764184,0.10352170019251695
2022-12-16,-0.21304213591549304,0.12903291142380569,-0.3175907790295845
2023-01-13,-0.4863797668845836,-0.5220274812378991,-0.08929580463319506
2023-02-10,0.18335814065475328,0.10998648341420857,-0.011377274267826084
2023-03-10,-0.1370700740758063,-0.06221997233482987,-0.17201528404360547
2023-04-07,0.021251930044522846,0.13814227411889432,-0.21703544884820664
2023-05-05,-0.22671999219049635,-0.6282129855928011,0.1673775714104107
2023-06-02,0.13930318069071154,0.09561127747968257,0.17931345980126465
2023-06-30,-0.03509233760641708,-0.2673390156695395,0.010063784549964564
2023-07-28,0.02516188163786941,0.42243552853591926,-0.050909762068251554
2023-08-25,-0.0027134706623022564,0.2514391034821643,-0.08621873240670834
2023-09-22,0.010388558440282417,-0.08379826079488935,-0.046768031879080484
2023-10-20,0.18797049596539178,-0.24096031903535747,-0.12731152204836413
2023-11-17,-0.3511496756608889,-0.4649912434127239,-0.10288461538461538
2023-12-15,0.15643968359414986,0.04535053266640937,0.2973737769506209
2024-01-12,0.24427310895038892,-0.31666346158764735,0.24267852181161437
2024-02-09,-0.04243406070339274,0.051040348366929805,0.013255646242240281
2024-03-08,0.24329468972603774,0.15731838882098742,0.09466651102430933
2024-04-05,-0.23480395886733177,-0.002926374864606158,-0.08831510778363694
2024-05-03,0.38949414838388824,0.08325992548478856,-0.020625236218960286
2024-05-31,-0.04134055591790803,-0.174697118732997,0.2049266522950733
2024-06-28,-0.3516696031881931,0.4356208087488016,-0.08172522020856536
2024-07-26,-0.0127673576875385,0.011390732517700189,0.21537543548313734
2024-08-23,0.06949619311322758,0.09357992358035777,0.03472325693382111
2024-09-20,-0.0087075381066375,0.03844635043960788,0.08816105432380304
2024-10-18,0.13284868865696978,0.16033819442259697,-0.10167310167310167
2024-11-15,0.021991818921956046,-0.19038602763414259,0.08903408980058171
2024-12-13,-0.07810261475152418,-0.23413799561250176,0.18415037686723632
2025-01-10,0.19037831665399,0.17046806708203163,0.09593067650904787
2025-02-07,-0.26533825454120097,0.3790247465582425,0.08192716530982243
2025-03-07,0.32791814989664114,0.4471376793250506,0.014899574060481039
2025-04-04,-0.24871919506860807,-0.5463060018309556,0.01251518839951562
2025-05-02,0.012129557448871023,-0.23098226661670776,0.09446462074011235
2025-05-30,-0.13508095170771792,-0.559545151014781,0.09725288621475457
2025-06-27,-0.06841284628002313,-0.1278306259634613,-0.0882629206537941
2025-07-25,-0.08838016944491192,0.04354869749605687,-0.09257022047719723
2025-08-22,0.16588280012392478,-0.3694583533291674,-0.031846434737345386
2025-09-19,0.12662880054107095,-0.14445192696023504,0.035809134103268955
2025-10-17,0.27939211086240023,-0.06595921391773717,0.06395570027706977
2025-11-14,0.006955835009653316,-0.07526996047696284,0.05815606898067027
2025-12-12,0.2102881099201024,-0.0941257477299285,0.031999651751857365
2026-01-09,0.3938076172024114,-0.08015228555487174,0.06914680926570346
2026-02-06,-0.4130044096491468,0.2976301980353223,0.04997150747914319
2026-03-06,0.5623680582205368,-0.27639905702100914,0.01091042932259165
2026-04-03,0.3924099992763962,-0.526601967291106,-0.027203459211299186
2026-05-01,0.2516934485833484,-0.49117815548145155,-0.24495300045769014
2026-05-29,0.3281830612214433,-0.14248902718669315,0.03378200746621799
2026-06-26,-0.4073346571041859,0.40406465078607867,-0.007755391313151767
