rebalance,ticker,composite,forward_return
2022-07-01,IAS,100.0,0.0
2022-07-01,DGII,86.46307181190902,0.2005899840162091
2022-07-01,PLAB,80.08944543828267,0.31619675318444984
2022-07-01,SPSC,76.1334014822387,0.07446620419822048
2022-07-01,QLYS,75.6339009827382,-0.05799003507699896
2022-07-01,PRGS,74.73480008363731,0.04286025562921281
2022-07-01,FORM,72.01751736635458,0.034322288205806295
2022-07-01,MANH,70.57895592779315,0.19994876858139543
2022-07-01,YELP,70.39913574797296,0.10050248297626352
2022-07-29,DGII,89.61398421668287,0.1597052011569955
2022-07-29,GEN,77.4406684020627,-0.06971035982467921
2022-07-29,AKAM,77.30688913784867,-0.04344211444757695
2022-07-29,MANH,75.12374806602693,0.012653720071561292
2022-07-29,CRUS,74.93021689704598,-0.032061758637057625
2022-07-29,FFIV,74.32878216236537,-0.04296129550182093
2022-07-29,VIAV,73.51568034663987,-0.0168918916741978
2022-07-29,PLAB,73.19828222751762,-0.06803859589337657
2022-07-29,ONTO,70.78992783827866,-0.08564561265366932
2022-07-29,POWI,70.54446677760022,-0.10151742123974095
2022-08-26,DGII,83.74241519576157,-0.03389832954596095
2022-08-26,QLYS,83.5323434639507,-0.08204595345940502
2022-08-26,PLAB,78.35032975085491,-0.33934206874345607
2022-08-26,CRDO,76.86820652173914,-0.15884481605378808
2022-08-26,CRUS,75.5598650566897,-0.0870406730099843
2022-08-26,MANH,74.46632091966728,-0.08999643622377684
2022-08-26,AEIS,73.2095503150706,-0.1181726621672502
2022-08-26,ACLS,73.01777751460214,-0.2068059285323416
2022-08-26,PI,72.77183987736015,-0.14641511408145214
2022-09-23,PRGS,81.65036231884059,0.14115964465027764
2022-09-23,DGII,78.61133069828722,0.18546366109474288
2022-09-23,QLYS,77.42555994729908,-0.05706400912117815
2022-09-23,MANH,76.51646903820819,-0.01620000018833656
2022-09-23,ALRM,72.93939393939395,0.013683471093619337
2022-09-23,SPSC,72.52437417654811,0.057471265861118725
2022-09-23,ACLS,71.85243741765481,-0.034530860428450216
2022-09-23,CRUS,71.35836627140975,-0.10222449595430927
2022-09-23,AEIS,70.8050065876153,-0.06581590307530483
2022-10-21,DGII,92.05088389871,0.0975158195515129
2022-10-21,RMBS,89.03457955088392,0.32011235214114775
2022-10-21,EXTR,79.57805781175348,0.2706666310628256
2022-10-21,YELP,79.30631868131869,-0.21246009472352023
2022-10-21,AEIS,79.14327520305781,0.19744922391815778
2022-10-21,QLYS,77.69888214552248,-0.07034124074603398
2022-10-21,PRGS,75.10994933919837,0.07455213840682506
2022-10-21,SPSC,75.06718824653608,0.04017717887097483
