rebalance,ticker,composite,forward_return
2022-07-01,IAS,100.0,0.0
2022-07-01,GTLB,73.16160541966995,0.056117813015396534
2022-07-01,SPSC,72.1532077158484,0.07446620419822048
2022-07-01,DGII,70.58047936892649,0.2005899840162091
2022-07-01,MANH,68.57567413831481,0.19994876858139543
2022-07-01,COHR,67.02605291127423,0.0714430743990182
2022-07-01,FORM,66.77056168804106,0.034322288205806295
2022-07-01,GEN,66.14732590351495,0.10098749801711904
2022-07-01,CRDO,65.89861751152074,0.42161198328527383
2022-07-29,GEN,84.99344608683488,-0.06971042677446548
2022-07-29,COHR,73.97034810020253,-0.014247720529941499
2022-07-29,MANH,71.59742788025423,0.012653720071561292
2022-07-29,GTLB,70.94211603678644,0.12247384307346021
2022-07-29,ONTO,69.08079305496727,-0.08564561265366932
2022-07-29,DGII,68.65433996932765,0.1597052011569955
2022-07-29,SPSC,68.36310181984119,0.04108214830648271
2022-07-29,VECO,67.79918873128722,0.03532112315190594
2022-07-29,ACLS,67.4093485574358,0.02786860562268889
2022-07-29,ALAB,67.12749615975423,0.0
2022-08-26,GEN,71.1903352330028,-0.08942719006983735
2022-08-26,PLAB,69.38540884203302,-0.33934206874345607
2022-08-26,ALAB,68.97081413210446,0.0
2022-08-26,CRUS,68.21848384288744,-0.0870406730099843
2022-08-26,NVTS,67.71989502499054,-0.2343499251488126
2022-08-26,AEIS,67.49902626781196,-0.11817263195428584
2022-08-26,RMBS,67.37525203386164,-0.06456516399032985
2022-08-26,DGII,66.52836962082681,-0.03389832954596095
2022-08-26,COHR,66.52701326993018,-0.2811717156330986
2022-09-23,GEN,71.10373487091582,0.05466841657192112
2022-09-23,COHR,69.71861202015481,-0.13619297909556083
2022-09-23,ALAB,66.51305683563749,0.0
2022-09-23,AEIS,64.8348397485845,-0.06581598063656002
2022-09-23,PRGS,64.26370578151784,0.1411597376173035
2022-09-23,CRUS,64.21720949561062,-0.10222449595430927
2022-09-23,WIX,64.1070853462158,0.0982523678210252
2022-09-23,VECO,63.773596176822,-0.005382151877306396
2022-09-23,DGII,63.39270687237027,0.18546366109474288
2022-10-21,RMBS,78.48869332319545,0.32011235214114775
2022-10-21,GEN,75.54043089526961,0.043424173018635104
2022-10-21,EXTR,68.893243736161,0.2706666310628256
2022-10-21,AEIS,68.19540985740144,0.19744876925695065
2022-10-21,TDC,67.93531947248638,0.03512194873840824
2022-10-21,DGII,67.62427069579945,0.0975158195515129
2022-10-21,ALAB,66.43625192012288,0.0
2022-10-21,COHR,65.41265147506383,0.13190564366798174
2022-10-21,NVMI,65.21333100435486,0.18332651433751845
2022-10-21,YEXT,65.02845655720832,0.098739446973106
2022-11-18,MANH,73.44601040680814,-0.02056935972657714
2022-11-18,AEIS,73.44239006906199,-0.00515122484247621
2022-11-18,CRUS,70.07959991942137,0.001434167075988091
2022-11-18,DGII,67.9145239208353,-0.09848303088866928
2022-11-18,COHR,67.62997107530684,-0.04688793095513233
2022-11-18,WIX,67.48997518025672,-0.049359467963355996
2022-11-18,TDC,65.33591539748966,0.04272694647385289
2022-11-18,YEXT,64.55108762167566,0.24665391150066496
2022-12-16,AEIS,76.90170305945917,0.046825820830249
