,technical,stability,insider,events,earnings_drift
2024-07-01,-0.23360459930027308,0.1214736837248578,-0.028333274219220862,0.09315105790082712,-0.08998510329495571
2024-07-29,0.18142373865476485,0.17649416270889565,0.04129994124471133,0.1797822671320223,0.38335561497326204
2024-08-26,0.12429051995397224,0.045205664210644675,0.17576526309667034,-0.05262740874477111,0.08097880292507269
2024-09-23,0.051440329242546844,-0.08295065002145555,0.1632688474520315,-0.06259767248141017,-0.04166289374067711
2024-10-21,-0.017330776875507922,0.1170918781648429,0.3418702266741111,-0.12798209629129484,0.008163265306122448
2024-11-18,-0.11623179216275076,-0.21884151651432274,-0.15222564453947118,0.1882362340240441,0.03807547543095657
2024-12-16,-0.08030408722490222,-0.011273469345423578,0.16364106595120184,-0.03327923357729966,0.01166977394883658
2025-01-13,0.04450147531554643,0.008214425635965836,0.16971059577104655,0.06015921978466714,0.04681758503139266
2025-02-10,-0.23781884393481104,0.3343081815969675,-0.11915560256315995,0.018847918342290156,-0.21939270936231306
2025-03-10,0.1108176664175918,0.3860710626566953,0.22700213818447307,-0.06823376523595774,0.2074926422993285
2025-04-07,-0.06166792874405813,-0.40898645474182416,0.08592811361528907,-0.003358034240994161,-0.06606705565921583
2025-05-05,0.09603813775977019,-0.2356671507346898,0.3620087463965525,0.20048870892543674,-0.09799566357772721
2025-06-02,-0.22316309398429915,-0.3471646605638018,0.07663885025921825,0.07361540033185487,-0.046015945857514805
2025-06-30,-0.05752078698650527,-0.3926557051370031,0.04272555095761095,-0.06685000816124899,-0.14226702468341332
2025-07-28,0.11971933447113489,0.019167207676462822,0.00881644869522747,0.03978501564256594,0.012595839785884662
2025-08-25,0.10639361389398658,-0.560528232156655,0.05116860385422089,-0.06032436375037095,-0.15736289070983378
2025-09-22,0.0630264326492858,-0.06444417094545168,0.19639289327364792,0.09102816383859247,-0.0466698587417294
2025-10-20,0.025768523472159237,0.050235209706830194,-0.0933420282320337,-0.1032499963057402,0.07213210657175262
2025-11-17,0.12527510242541992,-0.23622188287668722,0.1005743403468644,0.009777039563233334,-0.03660866460587807
2025-12-15,0.07027621836797895,-0.2905298041733991,0.1106593202556409,-0.039882434278150254,-0.07097371798605605
2026-01-12,0.4562002954805719,-0.2158673792976258,-0.02293596723686045,0.001984901982582385,0.09705587867031723
2026-02-09,-0.17229738554117108,0.13626986907742503,0.024610561976448696,0.05316996821819915,-0.025652771431409403
2026-03-09,0.5225153310738148,-0.26949534547547527,-0.29432956045597264,-0.1685198751180266,0.03615520438383779
2026-04-06,0.33272405815493,-0.5524830557067005,-0.16477108148334535,-0.21248164549517531,0.0065208344486775835
2026-05-04,-0.002887219393379925,-0.05334507191571458,-0.05448058013058082,-0.23059128781627972,0.019418365519420028
2026-06-01,0.3330336727721698,-0.04602512030323761,-0.11887948818049181,-0.11181457760992808,0.014079308883779978
2026-06-29,-0.7661301453377102,0.5112380320894205,0.5323621264627668,0.26969570438948626,0.02277955234651693
