rebalance,picks,avg_return,qqq_return,iwm_return,alpha_vs_qqq
2022-07-01,10,0.16793272098315595,0.11813693427553362,0.09240987137014711,0.04979578670762233
2022-07-29,10,-0.02815782769996219,-0.025423100424716294,0.009238973285341068,-0.002734727275245895
2022-08-26,10,-0.13885073277970827,-0.10224727032749559,-0.1146682114857035,-0.03660346245221269
2022-09-23,10,0.025816703896256545,-0.00032664850139940693,0.03755506521207641,0.02614335239765595
2022-10-21,10,0.07329573938711909,0.03412965801885459,0.06380996912068548,0.039166081368264494
2022-11-18,10,0.019910329453656884,-0.037111222755014994,-0.04651356419056474,0.057021552208671875
2022-12-16,10,0.04714049576177326,0.02695615889390357,0.07271883999362383,0.02018433686786969
2023-01-13,10,0.12298317125364858,0.06666195250675999,0.017428781016255224,0.056321218746888585
2023-02-10,10,-0.027919936040955308,-0.037203974514329774,-0.07424743230594355,0.009284038473374466
2023-03-10,10,0.04234278973725445,0.10331690386331771,0.0012402897477237218,-0.06097411412606326
2023-04-07,10,-0.0892708740234912,0.015792720687699102,-0.007396802349572518,-0.1050635947111903
2023-05-05,10,0.11624826439690097,0.09836159028288205,0.04339340178437956,0.017886674114018924
2023-06-02,9,0.06240372647143369,0.04307548605819722,0.03169217609390729,0.01932824041323647
2023-06-30,9,-0.013363455430274555,0.03805969296190037,0.048913289379584945,-0.051423148392174926
2023-07-28,9,-0.036101557286456996,-0.050745783802533806,-0.06327951483030758,0.01464422651607681
2023-08-25,9,0.0030163688871413705,-0.01536136033026303,-0.039837151598040355,0.0183777292174044
2023-09-22,10,-0.03836172986780413,-0.00924838806395023,-0.05348272807144616,-0.0291133418038539
2023-10-20,9,0.09990911806227157,0.08866339374112675,0.07119666451631934,0.011245724321144818
2023-11-17,10,0.05804689212152213,0.04999465089113264,0.10516584910562488,0.008052241230389487
2023-12-15,10,0.00519775775557596,0.012961844894328722,-0.015740889948563153,-0.007764087138752762
2024-01-12,10,0.06529664879574142,0.06712077719533882,0.031620655334126724,-0.001824128399597405
2024-02-09,10,-0.042553639426842274,0.004507394997991687,0.037573982226806635,-0.04706103442483396
2024-03-08,10,-0.02007593323549728,0.004629612670251859,-0.008997123394491546,-0.024705545905749138
2024-04-05,10,-0.032483530631635525,-0.01132884150448732,-0.012472555620329007,-0.021154689127148206
2024-05-03,9,0.09021159957847626,0.0349729443995761,0.019167951304382314,0.055238655178900156
2024-05-31,9,0.03191726736775756,0.06470124536804889,-0.011243753343708973,-0.03278397800029133
2024-06-28,9,0.022565960506729002,-0.033687489858584385,0.10513083345944385,0.05625345036531339
2024-07-26,9,0.0012175230688568812,0.036784280875861386,-0.017125938759501858,-0.0355667578070045
2024-08-23,10,-0.022962190124468883,0.005083325838076691,0.005399677457153196,-0.028045515962545575
2024-09-20,10,0.04002157615397106,0.02637619399605895,0.021889212814856673,0.013645382157912112
2024-10-18,9,-0.006294194253952982,0.004246826354860733,0.012541570156319182,-0.010541020608813716
2024-11-15,9,0.09238824764441603,0.06838936112988248,0.020089257778597602,0.02399888651453355
2024-12-13,10,-0.07485398541031127,-0.04245235214296217,-0.0669163928819827,-0.0324016332673491
2025-01-10,10,0.07590032321647609,0.031014041159290073,0.04229110185264129,0.04488628205718602
2025-02-07,9,-0.12187841858666365,-0.05953110983043808,-0.0887167739484569,-0.06234730875622557
2025-03-07,10,-0.1480647333853608,-0.13926604137263277,-0.11824914917032636,-0.008798692012728038
2025-04-04,10,0.07940724676805136,0.1565286220337816,0.10646292029451199,-0.07712137526573024
2025-05-02,10,0.1334073596580141,0.061943732595497236,0.022894966825756313,0.07146362706251685
2025-05-30,10,-0.005506193130461268,0.05701222353692015,0.05366856250947549,-0.06251841666738142
2025-06-27,10,0.03111312688516533,0.033352187819778,0.04130316743117435,-0.0022390609346126696
2025-07-25,10,-0.01580531937291798,0.009887460964778327,0.046572697203741686,-0.025692780337696307
2025-08-22,10,0.0078153363580995,0.04786967179374235,0.03764104872391738,-0.04005433543564285
2025-09-19,10,-0.04806476722582479,0.008809760840498004,0.0017696987336246472,-0.056874528066322795
2025-10-17,10,-0.08572431597526728,0.008163182090112908,-0.024362214929400272,-0.09388749806538019
2025-11-14,10,0.04645910779667604,0.007817988809425191,0.06893212651228908,0.038641118987250846
2025-12-12,10,-0.02979377839484757,0.022550350096166794,0.028570670681200783,-0.052344128491014365
2026-01-09,10,-0.09156326105691963,-0.027128392415859293,0.018406640413354936,-0.06443486864106034
2026-02-06,10,-0.0601473485292955,-0.016238875035925804,-0.0533166022755287,-0.043908473493369696
2026-03-06,10,0.0072045840387771395,-0.017520480139253114,0.007648377397797779,0.024725064178030255
2026-04-03,10,0.16087000035219365,0.14553948543306272,0.10667303133175277,0.015330514919130928
2026-05-01,10,0.0771978121920035,0.09517165045083686,0.03992404599651067,-0.017973838258833363
2026-05-29,10,-0.06609069283049336,-0.042006118912949475,0.03482082594990299,-0.024084573917543886
2026-06-26,10,-0.05581464563494072,-0.03154905515244799,-0.02888294544363057,-0.02426559048249273
2026-07-24,10,0.12544821246744156,0.042690356760814785,0.03018847278902692,0.08275785570662678
